63-Eu-151(n,&gamma;) ENDF/B-VII.1
11.2813,36.2652
11.3318,31.0778
11.3934,27.2257
11.4673,24.7066
11.5314,23.7566
11.5708,23.6296
11.6419,24.2353
11.7131,26.041
11.7799,29.2261
11.8356,33.5952
11.8802,38.9521
11.922,46.5748
11.9526,54.9427
11.9771,64.5148
11.9994,76.7714
12.0194,92.2005
12.0395,113.7
12.0595,143.604
12.079,183.123
12.1008,241.532
12.1264,330.105
12.1823,551.374
12.2086,622.85
12.2309,644.565
12.2554,622.073
12.2835,547.622
12.337,361.805
12.3626,294.949
12.3793,266.243
12.396,250.349
12.4079,247.072
12.427,256.398
12.4412,275.711
12.4582,314.552
12.4753,372.692
12.4937,460.274
12.5142,589.285
12.5417,811.793
12.5914,1252.65
12.6146,1396.71
12.6395,1453.45
12.6618,1404.42
12.6854,1261.91
12.7581,618.141
12.78,462.979
12.8002,351.677
12.8181,276.474
12.8343,224.461
12.8513,182.808
12.8717,146.169
12.8905,121.772
12.916,98.009
12.9416,81.3931
12.974,66.663
13.0081,55.8798
13.049,46.8775
13.0889,40.7547
13.1397,35.4943
13.2031,31.6822
13.2539,30.4132
13.2793,30.3729
13.3312,31.8119
13.3701,34.826
13.4047,39.8692
13.4336,46.8926
13.4588,56.2999
13.484,70.01
13.51,89.8308
13.5389,119.283
13.6069,203.068
13.6358,227.227
13.6594,233.89
13.6819,227.615
13.7102,204.404
13.7898,107.277
13.8158,82.4466
13.8403,64.7506
13.8655,51.6577
13.8908,42.5745
13.9196,35.6229
13.9484,31.0706
13.9802,27.8078
14.0278,24.9781
14.0754,23.6601
14.11,23.3503
14.1835,24.1272
14.2571,26.8571
14.3061,30.0827
14.353,34.7462
14.3921,40.4603
14.4311,48.9287
14.4605,58.36
14.485,69.6126
14.5094,85.9037
14.5278,103.212
14.5461,126.908
14.5645,159.392
14.5828,203.474
14.6024,266.474
14.6227,351.953
14.6494,495.403
14.7081,861.233
14.7365,983.658
14.7604,1019.14
14.7823,989.438
14.807,893.559
14.8775,485.694
14.9009,378.421
14.9205,313.607
14.9367,277.548
14.9528,256.836
14.9658,251.001
14.9819,256.962
14.998,277.749
15.0136,312.335
15.033,375.637
15.0562,480.503
15.0944,705.247
15.127,900.73
15.1531,1012.86
15.1782,1053.0
15.202,1019.13
15.2299,900.651
15.3023,451.055
15.3252,335.075
15.3456,254.161
15.3634,199.598
15.38,160.598
15.3965,130.753
15.4164,104.253
15.4347,86.4281
15.4577,70.3361
15.4806,58.8535
15.5081,48.9516
15.5387,41.0693
15.5815,33.3515
15.6243,27.9721
15.6793,23.1068
15.7481,18.972
15.8306,15.6708
15.9269,13.1378
16.0469,11.1313
16.1855,9.73947
16.3241,8.96216
16.4826,8.59449
16.5354,8.57577
16.6938,8.82934
16.8522,9.63752
16.9882,10.9951
17.0945,12.7959
17.1704,14.7844
17.2377,17.3895
17.2932,20.5305
17.3394,24.2997
17.3817,29.2922
17.4147,34.9131
17.4411,41.1754
17.4671,49.7638
17.4929,61.8105
17.5143,75.804
17.5361,95.1083
17.5592,122.896
17.5836,162.274
17.6101,217.491
17.653,329.665
17.6993,448.561
17.7262,492.65
17.7497,505.703
17.7769,488.106
17.8081,430.861
17.887,225.142
17.915,166.473
17.9388,128.286
17.9606,101.865
17.9837,81.2632
18.0035,68.3426
18.0273,57.0893
18.057,47.5411
18.0867,41.2487
18.1283,35.7375
18.1778,32.1217
18.2372,30.2605
18.257,30.0634
18.3167,30.4852
18.3914,32.9649
18.4661,37.7907
18.5303,44.4227
18.5904,53.7283
18.6402,64.9717
18.6813,78.0829
18.7225,96.6635
18.7573,119.103
18.7856,144.55
18.8139,179.725
18.8379,220.544
18.8611,273.039
18.8864,349.692
18.9134,459.145
18.9439,621.064
18.9868,909.531
19.041,1282.75
19.0691,1414.62
19.0996,1467.18
19.1247,1430.21
19.1549,1299.52
19.2072,945.24
19.2527,635.616
19.2815,478.646
19.3085,364.177
19.3342,282.225
19.3574,226.937
19.3844,179.297
19.4089,147.672
19.4397,118.517
19.4706,97.5187
19.5067,79.7312
19.5487,64.8551
19.5925,53.6723
19.6439,44.1117
19.704,36.1143
19.776,29.354
19.8481,24.5632
19.9339,20.4997
20.0317,17.2732
20.1295,15.0218
20.2539,13.079
20.3783,11.855
20.5027,11.1676
20.6271,10.9339
20.759,11.1891
20.8908,12.0882
21.0091,13.7198
21.1001,15.8812
21.1759,18.766
21.2381,22.4718
21.28,26.1668
21.3218,31.5911
21.3553,38.1164
21.3814,45.5311
21.4076,56.2304
21.4311,70.1245
21.4536,88.8531
21.4756,114.106
21.4975,148.07
21.5211,195.799
21.5477,264.727
21.6021,438.594
21.6429,557.108
21.6749,609.037
21.6906,615.575
21.7151,599.324
21.7423,547.661
21.7925,399.15
21.8333,278.292
21.8595,217.485
21.8804,181.087
21.9034,153.913
21.9222,141.431
21.941,137.546
21.9623,143.732
21.9836,162.029
22.0012,187.398
22.0218,230.082
22.0423,288.114
