48-Cd-113(n,total) ENDF/B-VII.1
233.535,5.57174
233.79,5.29461
234.677,5.03649
236.449,4.90563
236.973,5.01147
237.214,5.31358
237.47,6.03453
237.75,6.88347
237.869,6.9929
238.03,6.78346
238.446,5.44138
238.687,5.00425
238.999,4.82077
244.034,4.56356
251.238,4.27039
251.607,4.30718
251.895,4.50548
252.135,4.99678
252.528,6.23154
252.674,6.39841
252.848,6.16971
253.289,4.74253
253.529,4.31564
253.865,4.11883
257.588,3.74107
257.733,3.73953
258.423,3.81728
258.831,4.01812
259.148,4.39124
259.375,4.92868
259.533,5.60432
259.647,6.40323
259.737,7.40485
259.817,8.74148
259.885,10.4378
259.941,12.4317
259.998,15.1714
260.055,18.9269
260.113,24.1803
260.171,31.2952
260.229,40.7766
260.287,53.167
260.352,71.2459
260.417,94.3169
260.497,129.789
260.602,188.085
260.842,339.514
260.947,389.646
261.051,413.987
261.085,415.361
261.193,397.961
261.304,350.83
261.607,168.837
261.705,121.064
261.781,91.7551
261.857,69.1119
261.926,53.6766
261.991,42.7158
262.056,34.5861
262.133,27.8043
262.209,23.1076
262.303,19.2035
262.412,16.3034
262.557,13.8793
262.738,11.9858
262.974,10.4116
263.246,9.22037
263.681,8.014
264.306,7.00066
264.93,6.38729
265.78,5.87611
266.715,5.63742
267.182,5.74142
267.565,6.14677
267.777,6.70314
267.905,7.31726
268.033,8.38814
268.117,9.5767
268.203,11.426
268.275,13.8263
268.346,17.2206
268.406,21.2774
268.467,26.7196
268.528,33.8909
268.594,44.0642
268.664,58.049
268.746,79.1857
268.846,111.186
269.121,214.919
269.235,246.907
269.341,260.115
269.362,260.561
269.469,251.389
269.579,224.453
269.798,145.146
269.932,99.1382
270.03,72.427
270.115,54.5707
270.191,42.4457
270.268,33.4763
270.343,27.1493
270.417,22.6335
270.507,18.9279
270.607,16.2703
270.707,14.6175
270.827,13.4725
270.983,12.8532
271.061,12.7869
271.356,12.9902
271.577,12.5156
271.852,10.7276
272.125,8.87971
272.365,7.89983
272.678,7.30476
273.583,6.61967
274.704,6.18487
277.369,5.66725
280.331,5.38254
280.731,5.46799
280.949,5.80402
281.109,6.43512
281.253,7.43419
281.477,9.73584
281.665,11.6343
281.81,12.3488
281.842,12.3774
281.98,11.9464
282.17,10.2496
282.408,7.79373
282.564,6.66829
282.704,6.04822
282.873,5.66097
283.179,5.41574
284.953,5.18526
288.33,5.00079
288.856,5.08879
289.616,5.74132
289.651,5.74443
290.184,5.45236
290.344,5.59846
290.464,6.03208
290.552,6.67771
290.623,7.52525
290.705,9.03717
290.776,10.9305
290.847,13.5196
290.922,17.1139
291.013,22.8399
291.124,31.743
291.382,55.436
291.506,63.5477
291.621,66.2859
291.729,64.0548
291.852,56.6849
292.173,28.5798
292.275,21.5055
292.368,16.51
292.451,13.2405
292.524,11.1491
292.61,9.41213
292.707,8.13431
292.804,7.34554
292.934,6.73587
293.168,6.21065
293.687,5.75524
294.934,5.38592
298.257,5.11802
309.408,4.89778
310.774,4.95359
311.175,5.13947
311.416,5.58697
311.569,6.18594
311.75,7.32052
312.083,9.94932
312.252,10.6576
312.299,10.696
312.437,10.3813
312.637,9.04089
312.923,6.79572
313.103,5.84529
313.264,5.363
313.425,5.11457
313.826,4.91869
317.923,4.78719
341.228,4.59883
342.437,4.62848
342.765,4.72635
343.085,5.07071
343.638,6.23453
343.788,6.33924
344.014,6.11406
344.463,5.11577
344.783,4.73088
345.391,4.58522
349.85,4.52858
350.81,4.59061
351.609,4.87247
352.682,4.52738
356.433,4.47747
358.041,4.55066
358.39,4.80429
358.618,5.25665
359.152,6.98474
359.32,7.1747
359.496,6.96157
360.042,5.19056
360.282,4.7457
360.563,4.53972
361.645,4.43471
374.887,4.25149
375.408,4.29826
375.68,4.50872
375.855,4.90769
376.001,5.54305
376.146,6.5486
376.344,8.49051
376.617,11.3031
376.77,12.1579
376.836,12.2468
376.984,11.8043
377.171,10.2409
377.478,7.10821
377.625,6.00697
377.78,5.24749
377.935,4.81264
378.059,4.61936
378.381,4.41662
380.351,4.25246
383.249,4.18416
384.081,4.26944
384.638,4.70761
385.002,4.92158
385.33,4.74166
385.907,4.24187
386.371,4.12685
398.128,3.70642
403.993,3.30091
409.134,2.73376
409.643,2.7203
410.42,2.8322
410.886,3.07919
411.204,3.41823
411.458,3.87212
411.681,4.49603
411.871,5.31321
412.016,6.22244
412.157,7.51248
412.27,9.0186
412.376,11.0628
412.472,13.7355
412.556,17.1289
412.63,21.2425
412.708,27.1608
412.779,34.4749
412.849,44.2196
412.92,57.0715
412.998,75.7069
413.075,100.09
413.156,132.509
413.245,177.855
413.355,248.488
413.51,371.923
413.756,582.844
413.903,676.801
414.039,716.212
414.073,717.588
414.214,686.569
414.349,608.955
414.741,293.696
414.858,217.111
414.957,165.223
415.049,127.54
415.138,99.5632
415.227,78.5817
415.316,63.1304
415.4,52.3256
415.502,43.0109
415.621,35.5701
415.756,29.8859
415.907,25.617
416.105,21.8386
416.352,18.6561
416.649,16.0563
417.037,13.7599
417.581,11.6843
418.115,10.3479
419.006,8.91236
420.197,7.78628
421.223,7.29086
421.524,7.43158
421.765,7.98299
421.958,8.93866
422.197,10.8338
422.481,13.3023
422.669,14.1611
422.719,14.2045
422.875,13.8001
423.076,12.2921
423.452,8.76808
423.659,7.46638
423.844,6.78588
424.137,6.28658
424.74,5.96222
429.149,4.9458
429.771,4.86454
430.206,5.00891
430.393,5.36137
430.517,5.91872
430.611,6.67205
430.694,7.74224
430.764,9.05213
430.843,11.1428
430.922,14.0926
431.0,18.1403
431.079,23.5306
431.166,31.3597
431.26,42.1589
431.379,59.2031
431.631,103.661
431.799,130.509
431.942,144.307
432.031,146.881
432.153,142.325
432.284,128.348
432.501,92.9657
432.7,60.1927
432.819,44.5129
432.924,33.6488
433.011,26.7146
433.099,21.4646
433.186,17.6029
433.273,14.8259
433.378,12.5413
433.495,10.9085
433.651,9.60773
433.845,8.69282
434.156,7.88749
434.622,7.21827
435.244,6.70796
436.737,6.10024
439.723,5.59581
445.176,5.16647
445.585,5.23235
445.837,5.53265
445.97,5.93122
446.102,6.63303
446.222,7.63374
446.365,9.39827
446.535,12.2816
446.861,18.5456
447.024,20.5268
447.131,20.9223
447.286,20.1093
447.453,17.7415
447.822,10.9341
447.964,8.95232
448.105,7.5475
448.219,6.78967
448.408,6.04908
448.597,5.69864
448.975,5.44078
450.336,5.21099
455.66,4.93306
456.287,5.02641
456.483,5.2481
456.671,5.77177
456.825,6.59318
456.978,7.90224
457.144,9.89783
457.51,15.0276
457.682,16.4468
457.771,16.6475
457.938,15.9707
458.118,14.0076
458.46,9.35246
458.614,7.76257
458.767,6.66091
458.952,5.87809
459.167,5.43902
459.526,5.18651
461.25,4.97062
487.677,4.325
488.2,4.35233
488.639,4.55881
488.872,4.92972
489.109,5.67003
489.649,8.23194
489.858,8.69054
489.889,8.69777
490.059,8.44615
490.26,7.63361
490.663,5.62424
490.824,5.0526
491.079,4.51257
491.363,4.26184
492.184,4.09202
493.261,4.00597
493.728,4.10022
493.902,4.27966
494.093,4.69777
494.249,5.28879
494.455,6.44916
494.812,8.86379
495.004,9.64259
495.096,9.73843
495.268,9.39125
495.502,8.07928
495.824,5.91326
496.01,4.9975
496.196,4.41213
496.401,4.05866
496.643,3.86129
497.565,3.62372
498.165,3.56269
498.65,3.62348
498.93,3.81793
499.116,4.16132
499.256,4.70251
499.349,5.32639
499.443,6.30171
499.524,7.58725
499.606,9.45239
499.676,11.6769
499.746,14.6543
499.816,18.5764
499.886,23.6527
499.964,30.9742
500.048,41.047
500.149,56.5439
500.258,77.7103
500.418,116.075
500.717,192.845
500.862,219.163
501.006,229.957
501.025,230.075
501.157,222.519
501.313,196.882
501.746,92.1842
501.878,66.5237
