49-In-115(n,&gamma;) ENDF/B-VII.1
81.7025,1.58627
81.7887,1.51541
81.8244,1.50971
81.9315,1.55534
82.0387,1.68629
82.1534,1.93084
82.2523,2.25617
82.3511,2.74363
82.4277,3.30584
82.4895,3.9644
82.5451,4.83177
82.5883,5.80885
82.6279,7.07229
82.6625,8.6106
82.6971,10.7289
82.7317,13.6537
82.7638,17.3436
82.7949,22.0857
82.8295,29.0571
82.8631,37.9337
82.8987,50.0128
82.9402,68.0505
82.9867,93.5435
83.0519,137.745
83.1656,221.604
83.2269,255.305
83.2842,270.189
83.2993,270.899
83.3554,261.547
83.4127,234.641
83.5036,170.603
83.5896,108.17
83.641,77.3872
83.6855,56.1739
83.725,41.513
83.7606,31.351
83.7947,23.906
83.8258,18.7228
83.857,14.7755
83.8881,11.7986
83.9237,9.29615
83.9566,7.6091
83.9927,6.2558
84.0348,5.12607
84.0769,4.31681
84.1372,3.5018
84.1984,2.92409
84.284,2.35389
84.3831,1.89588
84.4921,1.53957
84.61,1.26312
84.7502,1.02914
84.8904,0.866464
85.0039,0.778619
85.1307,0.726553
85.4262,0.698136
85.5437,0.641745
85.7893,0.455934
85.8744,0.410808
85.9595,0.385012
86.044,0.377097
86.2959,0.395624
86.4134,0.378515
86.5514,0.324839
86.7294,0.248929
86.8451,0.215771
86.9763,0.192516
87.2182,0.168237
87.5322,0.148797
87.7992,0.138754
87.8971,0.137687
88.0484,0.142073
88.3652,0.170992
88.4151,0.172218
88.529,0.166054
88.796,0.127838
88.934,0.11479
89.0808,0.107946
89.4368,0.102441
89.7305,0.101498
90.309,0.105309
90.754,0.114012
91.199,0.129988
91.5662,0.151717
91.8721,0.179263
92.1169,0.211053
92.3398,0.251676
92.5339,0.301168
92.7173,0.366906
92.8687,0.442772
93.0202,0.549713
93.1392,0.668414
93.2528,0.828152
93.342,1.00565
93.4232,1.23492
93.4908,1.51279
93.5395,1.79712
93.5881,2.19835
93.6314,2.70896
93.6693,3.33513
93.7071,4.20286
93.7436,5.35714
93.7802,6.93218
93.8167,9.05692
93.8532,11.8761
93.8921,15.8163
93.93,20.7225
93.9733,27.7607
94.0284,38.9607
94.1258,63.1243
94.2102,83.6431
94.2773,94.9223
94.3391,98.627
94.4027,94.7994
94.4612,85.2365
94.5645,60.2354
94.6516,38.8193
94.7057,27.8686
94.7511,20.5152
94.79,15.5411
94.829,11.6739
94.865,8.94378
94.9017,6.8367
94.9385,5.27718
94.9753,4.13576
95.0107,3.33074
95.0486,2.70223
95.0919,2.18926
95.1405,1.78603
95.1892,1.50039
95.2568,1.22155
95.338,0.99183
95.4272,0.814184
95.5408,0.654358
95.6598,0.535518
95.8113,0.428282
95.9627,0.351995
96.1466,0.285406
96.363,0.230219
96.583,0.190378
96.8732,0.153296
97.1918,0.125189
97.5257,0.104655
97.8596,0.0900692
98.3048,0.0768915
98.6387,0.0706411
99.0171,0.0671229
99.1729,0.067019
99.4266,0.0693938
99.6169,0.0746094
99.7694,0.0829081
99.8807,0.0934808
99.9697,0.107245
100.036,0.123146
100.094,0.143363
100.152,0.172875
100.203,0.209897
100.254,0.261524
100.301,0.327932
100.351,0.420199
100.407,0.554482
100.474,0.761965
100.586,1.19611
100.686,1.57093
100.749,1.73102
100.819,1.79889
100.891,1.72849
100.965,1.53019
101.167,0.752663
101.235,0.542987
101.29,0.412212
101.343,0.315713
101.391,0.249023
101.44,0.199785
101.496,0.160131
101.55,0.132608
101.604,0.113397
101.675,0.0955354
101.764,0.080722
101.873,0.0688692
102.011,0.0590343
102.205,0.0503319
102.426,0.0441042
102.703,0.0392491
102.97,0.0366765
103.059,0.036445
103.219,0.0376947
103.335,0.0406465
103.591,0.0506881
103.684,0.0520327
103.798,0.0499438
104.114,0.0348183
104.216,0.0316737
104.376,0.0290321
104.643,0.0272786
105.302,0.0254815
106.548,0.0241549
106.904,0.0240949
107.816,0.0247024
108.565,0.0266194
109.01,0.0292099
109.284,0.0320557
109.512,0.0359484
109.695,0.0410445
109.829,0.0470536
109.941,0.0548972
110.03,0.0648322
110.097,0.0761706
110.15,0.0891501
110.203,0.107314
110.257,0.132814
110.31,0.168319
110.36,0.213331
110.41,0.27207
110.472,0.364828
110.543,0.501525
110.729,0.914738
110.812,1.04034
110.88,1.07453
110.944,1.04343
111.009,0.955008
111.116,0.731169
111.238,0.459935
111.305,0.340109
111.364,0.257956
111.42,0.197608
111.468,0.159961
111.518,0.130235
111.576,0.10563
111.635,0.0887938
111.701,0.075896
111.779,0.066199
111.868,0.0592503
112.002,0.0532905
112.091,0.0510391
112.304,0.0488986
112.499,0.0497304
112.743,0.0540707
112.938,0.0608568
113.107,0.0705105
113.248,0.0829634
113.364,0.0987842
113.458,0.117802
113.536,0.141294
113.606,0.172615
113.661,0.207653
113.717,0.259211
113.768,0.322933
113.818,0.410047
113.868,0.527558
113.918,0.684619
113.976,0.919103
114.045,1.27702
114.144,1.92255
114.26,2.70141
114.342,3.09339
114.415,3.22746
114.419,3.22786
114.477,3.1534
114.54,2.91415
114.634,2.34998
