13-Al-27(n,&gamma;) ENDF/B-VII.1
130304.0,0.0011649
132174.0,0.00129349
134885.0,0.0015814
139092.0,0.00209105
141149.0,0.00219886
141430.0,0.00219985
143487.0,0.00210283
145356.0,0.0019447
145637.0,0.00199351
145777.0,0.00207468
145871.0,0.00222417
145935.0,0.0024067
145987.0,0.00271117
146023.0,0.00304773
146053.0,0.00353937
146079.0,0.0041941
146100.0,0.00502888
146120.0,0.00615822
146137.0,0.00764217
146159.0,0.0101244
146187.0,0.0135705
146202.0,0.0145239
146206.0,0.0145961
146221.0,0.0140031
146238.0,0.0122007
146268.0,0.00840552
146286.0,0.00674504
146303.0,0.00553475
146322.0,0.00458333
146342.0,0.00392759
146369.0,0.00331553
146398.0,0.00290384
146441.0,0.00252607
146492.0,0.00226579
146561.0,0.00207031
146686.0,0.00190197
146901.0,0.00176649
147418.0,0.00162787
149304.0,0.00136267
151361.0,0.00116567
152990.0,0.00108775
153418.0,0.00108376
154447.0,0.00111883
155304.0,0.00122405
155990.0,0.00139622
156504.0,0.0016082
157087.0,0.00197007
158184.0,0.00289225
158578.0,0.00305031
158630.0,0.00305311
158973.0,0.00295897
159453.0,0.00257798
160241.0,0.00183564
160790.0,0.00144689
161304.0,0.00118572
161904.0,9.72762E-4
162590.0,8.06756E-4
163361.0,6.80296E-4
164390.0,5.68933E-4
165675.0,4.79517E-4
167304.0,4.07246E-4
169362.0,3.50708E-4
171709.0,3.08772E-4
174726.0,2.78246E-4
178078.0,2.64527E-4
179084.0,2.63923E-4
182436.0,2.74E-4
185453.0,3.01617E-4
188135.0,3.47363E-4
190482.0,4.12295E-4
192493.0,4.95324E-4
194169.0,5.91853E-4
196181.0,7.54401E-4
198192.0,9.78381E-4
201679.0,0.00143062
203288.0,0.00156686
203469.0,0.00163228
203536.0,0.00170621
203583.0,0.00181858
203610.0,0.00193997
203636.0,0.00216161
203653.0,0.00241181
203667.0,0.00275379
203675.0,0.00311333
203682.0,0.00357662
203687.0,0.00412864
203691.0,0.00482707
203695.0,0.00587529
203698.0,0.00727184
203702.0,0.00903099
203705.0,0.0115278
203708.0,0.0147566
203711.0,0.0190341
203715.0,0.0245908
203718.0,0.0329769
203722.0,0.0436776
203727.0,0.0610151
203733.0,0.0897395
203746.0,0.149692
203752.0,0.171114
203757.0,0.179606
203758.0,0.179821
203764.0,0.172989
203770.0,0.153446
203781.0,0.104261
203788.0,0.067354
203793.0,0.0490642
203797.0,0.0359627
203801.0,0.0272885
203804.0,0.0207804
203808.0,0.0158158
203811.0,0.0125204
203814.0,0.00977087
203817.0,0.00790779
203820.0,0.00653574
203824.0,0.00532429
203828.0,0.00450142
203832.0,0.00393564
203836.0,0.00347197
203844.0,0.00300767
203852.0,0.00267405
203867.0,0.00234293
203884.0,0.00211152
203912.0,0.00190868
203939.0,0.00179589
203994.0,0.00167964
204120.0,0.00158302
207229.0,0.00118406
209718.0,8.50652E-4
211305.0,6.85246E-4
212891.0,5.54675E-4
214478.0,4.59645E-4
216064.0,3.87147E-4
217968.0,3.28955E-4
219258.0,3.09081E-4
219343.0,3.08932E-4
219750.0,3.16148E-4
219903.0,3.30234E-4
220004.0,3.54864E-4
220070.0,3.92968E-4
220111.0,4.41024E-4
220138.0,4.98857E-4
220160.0,5.73152E-4
220178.0,6.73845E-4
220190.0,7.78193E-4
220200.0,9.15552E-4
220208.0,0.00106342
220214.0,0.00123769
220219.0,0.00145827
220224.0,0.00172872
220228.0,0.00211488
220232.0,0.00259304
220236.0,0.00328642
220240.0,0.00412846
220244.0,0.00524433
220248.0,0.00681751
220252.0,0.00908658
220257.0,0.0123918
220263.0,0.0174049
220272.0,0.0276623
220282.0,0.0374738
220289.0,0.0422799
220294.0,0.0436735
220300.0,0.0424183
220307.0,0.0375074
220318.0,0.0256362
220326.0,0.0172527
220332.0,0.0124227
220337.0,0.00918911
220341.0,0.00689606
220345.0,0.00530499
220349.0,0.00410572
220353.0,0.0032956
220356.0,0.00266619
220360.0,0.00214403
220364.0,0.00181325
220369.0,0.00151224
220375.0,0.00125203
220382.0,0.00105634
220390.0,8.95429E-4
220400.0,7.72871E-4
220413.0,6.66126E-4
220428.0,5.78528E-4
220450.0,5.02862E-4
220479.0,4.42918E-4
220514.0,4.0201E-4
220583.0,3.60124E-4
220683.0,3.37232E-4
220842.0,3.23497E-4
220984.0,3.21399E-4
221409.0,3.33253E-4
221787.0,3.60845E-4
222071.0,3.96521E-4
222354.0,4.54135E-4
222590.0,5.30985E-4
222774.0,6.22314E-4
222939.0,7.44767E-4
223084.0,9.04117E-4
223208.0,0.00110451
223311.0,0.00134404
223404.0,0.00164857
223487.0,0.00202848
223559.0,0.00248865
223630.0,0.00311221
223692.0,0.00386201
223752.0,0.00485382
223811.0,0.00614845
223878.0,0.00805933
223994.0,0.0118988
224034.0,0.012765
224069.0,0.0129953
224112.0,0.0125674
224168.0,0.011052
224286.0,0.00712618
224353.0,0.00542916
224412.0,0.00430955
224474.0,0.0034384
224545.0,0.00271773
224619.0,0.00218091
224702.0,0.00175155
224784.0,0.00144245
224888.0,0.001166
224991.0,9.69215E-4
225118.0,7.96938E-4
225260.0,6.62393E-4
225425.0,5.52693E-4
225614.0,4.65961E-4
225850.0,3.9244E-4
226134.0,3.33658E-4
226512.0,2.83219E-4
226984.0,2.43866E-4
227598.0,2.12374E-4
228425.0,1.86625E-4
229724.0,1.62776E-4
231614.0,1.42873E-4
234448.0,1.2578E-4
238150.0,1.13838E-4
242552.0,1.08799E-4
242952.0,1.08733E-4
246753.0,1.12538E-4
249554.0,1.22398E-4
251354.0,1.35622E-4
252634.0,1.53067E-4
253515.0,1.74077E-4
254155.0,1.99478E-4
254635.0,2.29704E-4
255035.0,2.6875E-4
255355.0,3.16406E-4
255635.0,3.79303E-4
255875.0,4.60639E-4
256075.0,5.61374E-4
256235.0,6.77391E-4
256376.0,8.19669E-4
256516.0,0.0010209
256636.0,0.00126488
256736.0,0.00154238
256836.0,0.00191399
256936.0,0.00240798
257053.0,0.00316086
257232.0,0.00443428
257292.0,0.00470738
257350.0,0.00480222
257404.0,0.00472101
257484.0,0.00434203
257728.0,0.00263405
257836.0,0.00205965
257936.0,0.0016618
258036.0,0.00136609
258156.0,0.00110885
258296.0,9.00578E-4
258436.0,7.57408E-4
258596.0,6.45659E-4
258796.0,5.5654E-4
259036.0,4.98255E-4
259276.0,4.79055E-4
259516.0,4.98248E-4
259676.0,5.39056E-4
259796.0,5.9259E-4
259917.0,6.76082E-4
260017.0,7.83472E-4
260097.0,9.08216E-4
260187.0,0.00111063
260256.0,0.00134993
260316.0,0.00164458
260365.0,0.00199214
260405.0,0.00237207
260445.0,0.0029078
260484.0,0.00362268
260514.0,0.00442631
