20-Ca-44(n,&gamma;) ENDF/B-VII.1
23573.8,9.01038E-4
23631.8,7.58376E-4
23705.5,6.32854E-4
23795.0,5.30515E-4
23900.3,4.52036E-4
24067.0,3.77215E-4
24212.7,3.37223E-4
24387.5,3.05777E-4
24620.6,2.81284E-4
24853.8,2.67281E-4
25320.0,2.56858E-4
25857.6,2.6904E-4
26099.4,2.86811E-4
26287.3,3.13371E-4
26444.0,3.5536E-4
26537.9,3.92103E-4
26631.9,4.5193E-4
26694.5,5.10209E-4
26741.5,5.68924E-4
26799.8,6.66761E-4
26845.1,7.78745E-4
26891.8,9.43732E-4
26930.0,0.00114067
26961.9,0.00137223
26992.3,0.0016872
27017.8,0.00206199
27040.4,0.00252793
27060.2,0.0030991
27077.9,0.0038108
27092.7,0.00463474
27107.2,0.00574714
27119.6,0.00706781
27130.2,0.00861744
27141.2,0.0108381
27149.9,0.0132894
27157.8,0.0163861
27165.3,0.0203992
27172.0,0.025489
27177.6,0.0314534
27183.1,0.0394653
27187.9,0.0494635
27192.0,0.061272
27195.5,0.0756051
27198.6,0.0929847
27201.5,0.115487
27203.9,0.142054
27206.0,0.175001
27207.9,0.21706
27209.5,0.266344
27211.0,0.331964
27212.2,0.404607
27213.5,0.500985
27214.7,0.628511
27216.1,0.81476
27217.4,1.05991
27218.9,1.40936
27220.6,1.9013
27223.8,3.05796
27226.5,3.97578
27228.5,4.39773
27230.0,4.50678
27231.6,4.38909
27233.3,4.01065
27236.2,3.03029
27239.3,1.91189
27241.2,1.37672
27242.7,1.02402
27244.2,0.779219
27245.4,0.611932
27246.7,0.485378
27248.0,0.387186
27249.5,0.309693
27251.0,0.248042
27252.6,0.203798
27254.4,0.168039
27256.5,0.137086
27259.1,0.110053
27262.1,0.0884494
27265.1,0.072851
27268.9,0.0583515
27273.4,0.046416
27278.1,0.0373929
27283.1,0.0305421
27289.3,0.0243636
27295.4,0.0199089
27302.9,0.0160263
27311.4,0.0128518
27320.9,0.010311
27332.1,0.00821008
27343.2,0.00669993
27355.6,0.0054748
27369.7,0.00445682
27386.4,0.00359791
27403.7,0.00295325
27425.3,0.00238084
27450.7,0.0019083
27479.0,0.0015437
27507.3,0.00128538
27541.3,0.00106438
27582.3,8.77343E-4
27626.2,7.38253E-4
27670.9,6.37478E-4
27737.1,5.3435E-4
27819.1,4.52048E-4
27901.2,3.97637E-4
27999.6,3.55944E-4
28065.2,3.32423E-4
28196.4,3.02844E-4
28393.3,2.76651E-4
28721.4,2.53642E-4
29246.4,2.39375E-4
30033.8,2.34425E-4
31871.2,2.44378E-4
33412.1,2.64738E-4
34978.3,2.9124E-4
37327.7,3.56571E-4
38632.9,4.10497E-4
