74-W-186(n,&gamma;) ENDF/B-VII.1
466.066,0.0217329
473.242,0.0244658
479.223,0.0279833
485.203,0.0335029
488.791,0.0387549
491.782,0.0450195
494.772,0.0544102
497.015,0.0654047
498.703,0.0779215
500.073,0.0923947
501.101,0.107942
502.132,0.129908
503.033,0.157804
503.741,0.189025
504.417,0.231454
504.964,0.280187
505.479,0.345051
505.906,0.421241
506.3,0.520848
506.638,0.641813
506.928,0.78719
507.182,0.964477
507.403,1.17985
507.588,1.4287
507.761,1.7532
507.909,2.14998
508.027,2.60566
508.127,3.17021
508.208,3.81808
508.28,4.63849
508.353,5.79992
508.417,7.24928
508.481,9.2525
508.54,11.7138
508.601,15.1853
508.663,19.8001
508.724,25.8322
508.792,34.4197
508.86,45.3837
508.943,62.5841
509.04,87.4297
509.219,143.422
509.381,192.532
509.497,215.748
509.6,222.907
509.716,214.001
509.825,191.059
510.014,133.152
510.171,84.5472
510.263,61.36
510.34,45.5959
510.413,33.909
510.478,25.7129
510.543,19.4084
510.601,15.1257
510.662,11.6925
510.719,9.31245
510.783,7.2947
510.847,5.83424
510.918,4.691
510.988,3.87619
511.069,3.21251
511.169,2.63618
511.282,2.18967
511.427,1.79006
511.596,1.46418
511.777,1.21367
511.994,0.996021
512.224,0.829032
512.513,0.676787
512.851,0.551713
513.205,0.458925
513.656,0.376175
514.107,0.318462
514.622,0.271724
515.267,0.231681
516.04,0.200487
517.082,0.175901
518.125,0.161998
519.381,0.154968
519.943,0.154244
521.348,0.157762
523.456,0.174854
525.212,0.200877
526.969,0.240689
528.549,0.293775
529.954,0.362216
531.184,0.447511
532.237,0.550747
533.212,0.685097
533.994,0.83455
534.696,1.01733
535.372,1.25915
536.005,1.57657
536.523,1.9383
537.015,2.41218
537.464,3.01825
537.858,3.76389
538.195,4.65547
538.49,5.7327
538.743,6.99468
538.968,8.51634
539.178,10.4664
539.354,12.6855
539.512,15.3942
539.66,18.8571
539.802,23.5217
539.918,28.7812
540.034,35.9673
540.139,44.8347
540.25,57.3662
540.357,73.501
540.48,97.8168
540.626,135.21
541.02,258.065
541.148,286.307
541.295,299.361
541.302,299.388
541.435,289.505
541.601,253.312
541.999,129.358
542.134,95.5644
542.255,72.0844
542.368,55.6142
542.466,44.7006
542.572,35.8596
542.677,29.255
542.791,23.9313
542.928,19.2857
543.074,15.7308
543.232,12.9241
543.422,10.4794
543.653,8.35423
543.899,6.75066
544.194,5.37854
544.489,4.39167
544.848,3.52441
545.227,2.86294
545.67,2.30453
546.147,1.86788
546.709,1.49732
547.359,1.19283
548.062,0.958665
548.852,0.770219
549.695,0.625529
550.643,0.508073
551.75,0.40918
552.892,0.335475
554.297,0.270252
555.702,0.22332
557.458,0.181137
559.425,0.147835
561.533,0.122647
564.062,0.101227
566.591,0.0861154
569.963,0.0722071
573.616,0.0621179
578.393,0.0537622
582.889,0.0490615
589.422,0.045718
593.708,0.0451099
599.382,0.0458647
608.032,0.0502339
615.474,0.0577897
621.427,0.0673259
626.636,0.0798607
631.101,0.0955852
635.194,0.116653
638.636,0.142454
641.426,0.172552
643.752,0.207689
645.845,0.251683
647.903,0.312988
649.589,0.384952
651.007,0.469825
652.31,0.57863
653.426,0.708857
654.403,0.865987
655.356,1.08018
656.17,1.33761
656.868,1.64398
657.519,2.04036
658.086,2.5196
658.607,3.1334
659.044,3.8485
659.435,4.72528
659.77,5.74804
660.105,7.15493
660.384,8.77855
660.635,10.7853
660.863,13.3009
661.058,16.2741
661.244,20.201
661.398,24.6727
661.542,30.3951
661.688,38.4089
661.814,47.7412
661.949,61.148
662.079,78.239
662.235,104.854
662.435,148.462
662.769,228.256
662.951,258.239
663.107,267.095
663.267,257.591
663.457,225.492
663.905,119.784
664.063,89.5556
664.209,67.8278
664.346,52.5105
664.477,41.6625
664.612,33.3326
664.751,26.9921
664.914,21.6301
665.1,17.2816
665.295,14.0263
665.532,11.2085
665.784,9.0821
666.077,7.30194
666.402,5.88641
666.774,4.72892
667.156,3.87083
667.602,3.13968
668.132,2.5194
668.718,2.0328
669.332,1.66469
670.076,1.34419
670.821,1.11376
671.797,0.898431
672.774,0.746759
673.89,0.623157
675.006,0.534719
676.681,0.443579
678.541,0.379024
