48-Cd-106(n,&gamma;) ENDF/B-VII.1
3110.99,0.0920493
3111.21,0.0766135
3111.43,0.0665403
3111.66,0.0599153
3111.99,0.0538138
3112.43,0.0493896
3113.11,0.0460741
3114.49,0.0439214
3114.76,0.0438608
3116.63,0.0452823
3118.77,0.0496907
3121.44,0.0587889
3123.94,0.0717361
3126.02,0.0873862
3128.01,0.1088
3129.67,0.134279
3131.13,0.165628
3132.38,0.202976
3133.45,0.246804
3134.46,0.303522
3135.41,0.377992
3136.24,0.469749
3136.96,0.580065
3137.53,0.703148
3138.1,0.871021
3138.56,1.0645
3138.95,1.29747
3139.29,1.57642
3139.58,1.90661
3139.88,2.37239
3140.15,2.95186
3140.4,3.70293
3140.64,4.63103
3140.88,5.84016
3141.15,7.65771
3141.44,10.1285
3141.78,13.9041
3142.21,20.01
3143.16,34.9255
3143.61,39.5623
3143.97,40.8362
3144.33,39.5966
3144.78,34.9934
3145.59,22.3428
3146.06,15.3601
3146.4,11.1853
3146.68,8.55942
3146.96,6.45347
3147.2,5.10664
3147.45,4.02162
3147.72,3.15548
3147.99,2.5212
3148.28,2.01243
3148.56,1.67239
3148.91,1.35237
3149.27,1.1239
3149.69,0.930174
3150.19,0.760674
3150.8,0.615625
3151.46,0.502418
3152.29,0.400615
3153.15,0.325491
3154.19,0.260589
3155.38,0.208198
3156.63,0.168968
3158.06,0.136727
3159.66,0.110763
3161.56,0.088877
3163.52,0.0727416
3165.9,0.0587765
3168.46,0.0481315
3171.37,0.0394965
3174.76,0.0324223
3178.68,0.026748
3183.26,0.0221926
3187.83,0.0190546
3194.37,0.0160919
3203.56,0.0137167
3211.45,0.012632
3219.33,0.0121441
3224.59,0.012086
3235.11,0.0125184
3245.63,0.0136883
3256.15,0.0157702
3265.35,0.0186686
3273.24,0.0223824
3279.81,0.0268329
3286.38,0.0332458
3291.15,0.0398123
3295.75,0.0484887
3299.86,0.0593269
3303.8,0.0739947
3307.25,0.0922699
3310.13,0.11363
3312.9,0.142501
3315.22,0.17647
3317.25,0.218032
3318.96,0.266051
3320.52,0.325838
3322.01,0.404898
3323.39,0.507287
3324.51,0.622348
3325.56,0.771516
3326.55,0.967618
3327.35,1.19117
3328.11,1.48281
3328.74,1.82151
3329.28,2.21724
3329.82,2.75126
3330.34,3.47516
3330.79,4.3534
3331.19,5.41065
3331.63,6.95307
3332.02,8.82005
3332.43,11.3682
3332.88,15.0323
3333.38,20.1851
3334.13,30.1501
3334.88,40.0884
3335.34,44.0429
3335.71,45.0396
3336.15,43.2419
3336.55,38.8878
3337.28,27.3336
3337.86,18.1416
3338.23,13.4223
3338.55,10.1867
3338.85,7.91265
3339.14,6.20914
3339.44,4.95917
3339.76,3.9817
3340.08,3.29733
3340.47,2.69173
3340.87,2.26129
3341.42,1.83203
3342.06,1.48046
3342.73,1.21651
3343.52,0.989727
3344.44,0.798713
3345.47,0.645692
3346.66,0.517999
3347.85,0.426527
3349.19,0.350178
3350.75,0.285318
3352.59,0.231019
3354.72,0.186336
3356.8,0.155284
3359.12,0.130525
3362.32,0.107187
3364.77,0.0950831
3367.72,0.0865164
3369.69,0.0849547
3371.54,0.0881508
3372.94,0.096394
3373.64,0.104574
3374.25,0.116253
3374.74,0.132526
3375.05,0.149566
3375.29,0.170443
3375.52,0.200161
3375.74,0.240756
3375.91,0.286536
3376.1,0.357848
3376.27,0.4449
3376.44,0.5613
3376.61,0.715223
3376.79,0.928396
3376.99,1.23295
3377.18,1.63008
3377.4,2.20793
3377.65,3.03608
3377.91,4.1337
3378.24,5.91514
3379.2,11.9516
3379.62,13.8662
3380.0,14.5633
3380.04,14.5706
3380.39,14.0701
3380.75,12.6747
3381.3,9.35061
3381.87,5.73274
3382.2,4.01404
3382.47,2.89424
3382.71,2.12327
3382.92,1.5775
3383.12,1.18329
3383.31,0.903519
3383.49,0.690333
3383.67,0.530599
3383.84,0.421916
3384.01,0.340262
3384.21,0.271023
3384.39,0.224683
3384.6,0.186634
3384.82,0.160419
3385.12,0.135864
3385.49,0.117788
3385.98,0.103134
3386.74,0.0895139
3387.81,0.0784314
3389.09,0.0708249
3391.22,0.0645763
3394.11,0.0618416
3397.65,0.0635007
3401.19,0.0692133
3404.59,0.0787835
3407.68,0.0922498
3410.27,0.108524
3412.99,0.133389
3415.06,0.160236
3416.98,0.195028
3418.75,0.240257
3420.24,0.293716
3421.57,0.35959
3422.73,0.439257
3423.79,0.540156
3424.79,0.674961
3425.61,0.830479
3426.33,1.02464
3426.91,1.24044
3427.39,1.48733
3427.87,1.83361
3428.23,2.20838
3428.6,2.7323
3428.93,3.39596
3429.25,4.27766
3429.56,5.46265
3429.87,7.07089
3430.2,9.32608
3430.52,12.2658
3430.92,16.8683
3431.52,25.5593
3432.17,35.1158
3432.59,39.6269
3433.01,41.8385
3433.14,41.9512
3433.51,40.8115
3434.06,35.8393
