29-Cu-63(n,&gamma;) ENDF/B-VII.1
7111.26,0.0412309
7113.14,0.0348249
7115.39,0.0294178
7118.21,0.0247995
7121.88,0.0208408
7125.54,0.0181979
7129.75,0.0161384
7135.36,0.0143715
7142.38,0.0130888
7147.99,0.0124005
7161.46,0.011594
7183.9,0.0112149
7219.82,0.0117459
7264.71,0.0132247
7309.61,0.0155615
7345.52,0.0183194
7376.95,0.0218103
7403.89,0.0261705
7426.34,0.0314749
7446.54,0.0385157
7462.25,0.0466023
7475.72,0.0566679
7486.94,0.0687368
7497.05,0.0843439
7505.24,0.102365
7512.31,0.123985
7519.04,0.153057
7524.54,0.186321
7529.71,0.229786
7534.2,0.282587
7538.57,0.3551
7542.17,0.438678
7545.42,0.543323
7548.56,0.68407
7551.37,0.859592
7553.73,1.06054
7556.14,1.33829
7558.38,1.68481
7560.95,2.21134
7567.4,3.87862
7569.64,4.19254
7570.54,4.21828
7572.15,4.10942
7574.67,3.61493
7579.79,2.25476
7582.18,1.75108
7584.42,1.38919
7586.95,1.08752
7589.3,0.88089
7591.83,0.71637
7594.58,0.583976
7597.83,0.470058
7601.43,0.380096
7605.24,0.311413
7609.73,0.253653
7614.9,0.207048
7620.28,0.172804
7625.67,0.14808
7633.21,0.123905
7641.84,0.105589
7653.34,0.0904852
7661.98,0.0833472
7673.5,0.0776288
7694.62,0.0740708
7713.34,0.076219
7736.87,0.0842919
7757.03,0.0961568
7776.23,0.112736
7795.43,0.136485
7812.23,0.165772
7829.03,0.207036
7843.43,0.256868
7855.43,0.313727
7867.43,0.391232
7878.24,0.486745
7889.04,0.617822
7899.4,0.791321
7908.91,1.00566
7919.85,1.3304
7938.86,1.99261
7947.08,2.16529
7950.77,2.18744
7956.14,2.15018
7963.82,1.97313
7986.48,1.19005
7996.8,0.912216
8006.4,0.717723
8016.0,0.57261
8026.81,0.452512
8038.81,0.356374
8050.81,0.286853
8062.81,0.235395
8077.21,0.189839
8094.01,0.151624
8110.81,0.124038
8130.01,0.101105
8150.65,0.0833308
8170.81,0.0705928
8193.86,0.0600139
8218.82,0.0522349
8241.86,0.0476941
8264.9,0.0461096
8282.18,0.0480695
8293.7,0.0512949
8302.34,0.0560564
8310.98,0.0639582
8319.27,0.0763729
8325.18,0.0906233
8329.92,0.107699
8334.44,0.131498
8337.84,0.15737
8341.22,0.194418
8343.85,0.235322
8346.44,0.292238
8348.48,0.355621
8350.34,0.435274
8351.94,0.530273
8353.51,0.658868
8354.82,0.80917
8356.13,1.01909
8357.2,1.25403
8358.22,1.55837
8359.28,1.98644
8360.41,2.59865
8361.6,3.4488
8363.61,5.27089
8365.13,6.597
8366.2,7.21669
8367.2,7.41306
8368.13,7.21978
8369.27,6.55297
8372.78,3.42129
8374.03,2.53822
8375.09,1.9695
8376.09,1.56668
8377.18,1.24344
8378.34,0.991092
8379.58,0.799307
8380.89,0.65072
8382.29,0.535016
8383.91,0.436546
8385.81,0.353756
8387.85,0.289554
8390.11,0.238177
8392.78,0.194242
8395.7,0.159725
8399.03,0.131383
8403.12,0.106882
8407.21,0.0894964
8412.21,0.0743101
8417.97,0.0620461
8424.97,0.0516275
8433.73,0.0428262
8443.74,0.0360996
8456.26,0.0305119
8472.52,0.0258221
8492.12,0.0222282
8517.15,0.0193455
8547.18,0.0172955
8573.87,0.0164161
8580.55,0.0163599
8593.89,0.0166001
8609.53,0.0180349
8616.39,0.0196765
8620.96,0.0216883
8624.39,0.0241628
8627.19,0.0273408
8629.66,0.0317715
