79-Au-197(n,&gamma;) ENDF/B-VII.1
122.812,0.954223
122.867,0.79234
122.928,0.665231
123.005,0.552036
123.086,0.465762
123.187,0.388847
123.308,0.323596
123.444,0.271643
123.613,0.227143
123.782,0.196056
123.996,0.168548
124.257,0.145678
124.571,0.127435
124.998,0.11168
125.481,0.100726
125.964,0.0937896
126.737,0.087231
128.218,0.082062
129.12,0.0813438
131.374,0.0840569
133.802,0.0933486
135.513,0.10489
136.946,0.12047
138.105,0.139986
138.99,0.162409
139.699,0.188575
140.319,0.221655
140.842,0.262458
141.277,0.311548
141.663,0.374808
142.001,0.455838
142.291,0.557555
142.532,0.680833
142.726,0.82131
142.895,0.99341
143.056,1.226
143.193,1.50935
143.305,1.83914
143.402,2.23449
143.482,2.69302
143.555,3.27174
143.615,3.95376
143.666,4.75587
143.714,5.8271
143.758,7.17992
143.798,8.91132
143.838,11.2874
143.878,14.5353
143.917,18.7204
143.956,24.206
144.001,32.5615
144.047,43.6936
144.107,61.5426
144.271,119.358
144.337,135.343
144.4,140.828
144.462,135.454
144.526,120.153
144.708,56.7438
144.761,41.5284
144.806,31.2028
144.844,24.2039
144.884,18.6355
144.924,14.3371
144.964,11.1556
145.002,8.94815
145.046,7.1034
145.089,5.78579
145.137,4.74172
145.188,3.95953
145.257,3.22142
145.325,2.70486
145.406,2.26323
145.507,1.87471
145.628,1.54913
145.773,1.2812
145.942,1.07095
146.139,0.909562
146.38,0.785762
146.622,0.711935
146.984,0.658979
147.234,0.650843
147.652,0.678229
148.071,0.756233
148.452,0.882575
148.76,1.03983
149.017,1.22782
149.288,1.51364
149.494,1.82206
149.684,2.22095
149.86,2.74041
150.01,3.36594
150.139,4.10915
150.249,4.98583
150.359,6.2153
150.447,7.61338
150.52,9.2517
150.586,11.3501
150.641,13.8569
150.691,17.0766
150.731,20.7745
150.771,25.7029
150.81,32.4699
150.844,40.1844
150.881,51.2155
150.921,67.3679
150.96,87.8049
151.001,115.471
151.048,155.452
151.11,221.105
151.265,413.14
151.33,470.364
151.392,493.465
151.4,493.769
151.456,478.338
151.514,433.71
151.611,319.646
151.704,204.607
151.764,144.316
151.811,106.713
151.852,80.9782
151.892,61.5058
151.929,48.0149
151.966,37.5978
152.006,29.4373
152.045,23.4905
152.087,18.9794
152.13,15.5528
152.18,12.7539
152.243,10.3171
152.309,8.49991
152.383,7.06581
152.471,5.81796
152.57,4.79865
152.698,3.85433
152.83,3.16309
152.984,2.5827
153.16,2.10961
153.365,1.71957
153.57,1.44042
153.849,1.17333
154.157,0.972716
154.494,0.823648
154.898,0.705959
155.301,0.630825
155.845,0.573312
156.51,0.550216
157.084,0.563023
157.658,0.606425
158.197,0.680332
158.749,0.801386
159.221,0.960366
159.654,1.17728
160.009,1.43498
160.307,1.74107
160.583,2.13924
160.824,2.63146
161.049,3.28032
161.235,4.03577
161.393,4.92224
161.55,6.16517
161.685,7.68739
161.803,9.59116
161.901,11.8383
161.982,14.4587
162.047,17.3837
162.104,20.823
162.16,25.5687
162.21,31.5136
162.261,39.7855
162.306,49.8739
162.351,63.4183
162.394,80.3624
162.441,104.73
162.49,137.585
162.552,189.832
162.646,288.125
162.747,398.893
162.812,452.911
162.878,480.877
162.9,482.686
162.965,466.118
163.042,409.272
163.233,203.897
163.298,146.425
163.352,109.219
163.4,84.0856
163.445,65.7635
163.485,53.1553
163.53,42.5722
163.575,34.7554
163.624,28.4957
163.678,23.6336
163.746,19.4726
163.82,16.4753
163.9,14.4154
163.96,13.4509
164.049,12.8143
164.059,12.8063
164.119,13.0755
164.186,14.2115
164.239,16.0779
164.286,18.7598
164.332,22.83
164.374,28.0023
164.415,35.0455
164.462,45.6854
164.51,60.1217
164.569,82.942
164.658,125.623
164.77,180.429
164.843,203.716
164.899,209.515
164.959,202.772
165.018,184.308
165.115,138.311
165.219,86.1816
165.276,62.789
165.324,46.9921
165.369,35.5848
165.406,28.1719
165.447,21.785
165.487,17.1852
165.527,13.7749
165.569,11.123
165.619,8.95288
165.668,7.43528
165.731,6.09039
165.806,5.02322
165.898,4.13299
166.009,3.40439
166.135,2.82805
166.29,2.32742
166.471,1.91788
166.696,1.56247
166.963,1.27214
167.251,1.05065
167.561,0.878347
167.938,0.726925
168.404,0.59428
168.899,0.49428
169.476,0.410878
170.149,0.341693
170.917,0.286207
171.879,0.238549
172.987,0.202171
173.998,0.179998
175.034,0.164903
176.416,0.152954
177.84,0.1488
179.309,0.152955
180.599,0.164911
181.845,0.186806
182.958,0.220168
183.781,0.258542
184.482,0.305796
185.171,0.373833
185.717,0.45163
186.139,0.534803
186.584,0.655636
186.962,0.799581
187.318,0.989116
187.63,1.22231
187.897,1.50166
188.131,1.83956
188.359,2.30084
188.553,2.85632
188.72,3.51956
188.876,4.38455
189.015,5.47783
189.132,6.77631
189.232,8.34179
189.312,10.0836
189.379,12.0675
189.446,14.8199
189.501,18.0236
189.557,22.489
189.607,28.0802
189.65,34.6013
189.695,43.4311
189.744,56.3534
189.793,73.4433
189.846,97.7097
189.906,132.694
189.988,192.96
190.149,322.157
190.213,359.529
190.288,379.386
190.3,379.791
190.364,368.493
190.429,336.444
190.536,255.297
190.65,162.54
190.719,116.88
190.774,87.7185
190.825,66.5922
190.87,52.378
190.914,41.4109
190.963,32.3569
191.013,25.5895
191.063,20.6646
191.119,16.7111
191.186,13.3758
191.252,11.0253
191.332,9.00819
191.427,7.31804
191.54,5.88532
191.657,4.82789
191.791,3.94567
191.947,3.19881
192.13,2.56798
192.325,2.08761
192.536,1.7078
192.803,1.36352
193.104,1.09121
193.415,0.889725
193.793,0.714509
194.183,0.585586
194.65,0.474769
195.195,0.383808
195.818,0.311299
196.519,0.254688
197.22,0.214343
198.087,0.178741
199.2,0.147627
200.535,0.123027
202.137,0.104082
203.987,0.0903698
206.544,0.0795638
209.577,0.0734459
212.274,0.0718457
215.017,0.0730759
217.761,0.0770878
221.249,0.0875235
224.04,0.101293
226.409,0.120393
228.343,0.144983
229.724,0.170867
231.106,0.208651
232.257,0.255098
233.178,0.308828
234.053,0.382168
234.79,0.471165
235.411,0.578399
235.964,0.713054
236.448,0.879129
236.851,1.0715
237.253,1.34101
237.61,1.68137
237.892,2.05854
238.151,2.53744
238.393,3.16288
238.612,3.96437
238.796,4.91621
238.954,6.05022
239.091,7.41105
239.208,9.01513
239.312,10.9637
239.409,13.5183
239.489,16.5464
239.561,20.3539
239.623,25.0332
239.678,30.7974
239.726,37.6011
239.772,46.145
239.818,57.3052
239.865,71.7614
239.914,91.8051
239.97,121.395
240.034,164.702
240.104,223.974
240.251,376.957
240.353,474.758
240.437,526.776
240.5,538.968
240.57,523.471
240.652,470.418
240.779,344.205
240.903,217.16
240.974,157.949
241.036,117.18
241.092,89.099
241.144,68.8927
241.195,53.5965
241.248,41.9784
241.3,33.6059
241.352,27.4185
241.409,22.378
241.476,18.1876
241.545,15.083
241.628,12.4014
241.725,10.1648
241.829,8.42664
241.953,6.90232
242.112,5.51227
242.273,4.5045
242.457,3.6675
242.659,3.00167
242.906,2.41317
243.182,1.94717
243.459,1.61058
243.821,1.29345
244.184,1.06732
244.598,0.880775
245.082,0.725893
245.635,0.601741
246.325,0.496101
247.131,0.415868
248.052,0.357983
248.973,0.323263
249.967,0.303562
250.96,0.297829
252.0,0.304954
253.3,0.334031
254.34,0.377808
255.348,0.446944
256.144,0.530612
256.826,0.63503
257.427,0.766617
257.996,0.945382
258.467,1.15674
258.866,1.40734
259.231,1.72829
259.556,2.1273
259.832,2.59745
260.092,3.21111
260.32,3.95923
260.528,4.9143
260.71,6.0867
260.872,7.55865
261.009,9.29029
261.133,11.4856
261.23,13.895
261.328,17.2767
261.412,21.4787
261.477,25.9654
261.542,32.07
261.602,39.7422
261.659,49.43
261.716,62.1882
261.774,79.3059
261.839,103.999
261.913,139.757
262.007,197.963
262.218,345.698
262.301,387.013
262.39,405.634
262.4,405.814
262.483,392.153
262.576,349.144
262.842,165.965
262.922,121.366
262.995,90.0866
263.057,69.3759
263.113,55.1175
263.17,44.0471
263.227,35.6709
263.284,29.3465
263.349,23.962
263.427,19.3082
263.508,15.8492
263.606,12.8821
263.72,10.4317
263.836,8.6152
263.984,6.95612
264.155,5.5975
264.35,4.49784
264.578,3.59309
264.813,2.92563
265.098,2.3508
265.406,1.90865
265.747,1.55969
266.17,1.2559
266.625,1.02886
267.177,0.838485
267.763,0.700644
268.445,0.592369
269.131,0.52117
269.867,0.475037
270.661,0.45679
271.203,0.468927
271.61,0.500882
271.916,0.549401
272.173,0.621134
272.387,0.72337
272.53,0.833432
272.655,0.985329
272.742,1.15244
272.817,1.37133
272.875,1.61928
272.927,1.94054
272.979,2.39461
273.024,2.93135
273.074,3.74411
273.124,4.85496
273.174,6.34511
273.224,8.29729
273.281,11.1457
273.341,14.9916
273.423,21.6353
273.629,40.5622
273.717,46.1521
273.8,48.005
273.883,46.1243
273.971,40.5148
274.205,19.1516
274.277,13.782
274.334,10.3393
274.388,7.76486
274.438,5.9349
274.488,4.54587
274.532,3.61066
274.582,2.84155
274.631,2.2835
274.68,1.8805
274.738,1.5485
274.795,1.31617
274.87,1.11083
274.945,0.971132
275.07,0.817632
275.213,0.705813
275.384,0.617792
275.598,0.546394
275.855,0.492065
276.283,0.44073
276.711,0.414515
277.361,0.398259
277.726,0.396468
278.787,0.408863
280.332,0.460184
281.784,0.544291
282.994,0.650099
284.128,0.79361
285.081,0.964968
285.898,1.16715
286.715,1.45058
287.426,1.79925
288.031,2.21335
288.56,2.71224
289.044,3.33873
289.467,4.09039
289.891,5.13279
290.254,6.38626
290.569,7.89965
290.844,9.72731
291.095,12.0247
291.307,14.6761
291.512,18.2137
291.682,22.2158
291.839,27.2922
291.987,33.9389
292.11,41.5628
292.226,51.6091
292.326,63.5422
292.414,77.7858
292.509,98.9959
292.598,126.375
292.683,161.227
292.774,210.26
292.883,286.539
293.073,453.835
293.21,567.356
293.327,627.762
293.4,638.751
293.509,613.763
293.632,534.729
293.914,288.223
294.016,216.304
294.111,163.693
294.199,127.138
294.283,100.736
294.368,81.0751
294.459,65.5072
294.565,52.3654
294.683,41.9549
294.81,33.95
294.955,27.3857
295.118,22.0915
295.309,17.6798
295.517,14.2282
295.759,11.3688
296.038,9.03975
296.328,7.30444
296.673,5.83023
297.054,4.67183
297.453,3.79377
297.938,3.02728
298.467,2.43044
299.072,1.94444
299.722,1.57103
300.448,1.27116
301.31,1.0185
302.263,0.820468
303.231,0.675754
304.441,0.546534
305.802,0.445108
307.315,0.366974
309.009,0.307128
310.824,0.264628
313.002,0.233499
314.817,0.220772
315.906,0.218446
317.479,0.223501
319.052,0.240196
320.431,0.269186
321.533,0.30836
322.492,0.361169
323.315,0.428668
324.0,0.510687
324.64,0.621435
325.188,0.758848
325.668,0.931529
326.102,1.15647
326.467,1.42833
326.776,1.75376
327.05,2.16262
327.29,2.66949
327.49,3.2636
327.661,3.97294
327.815,4.86843
327.952,6.00961
328.066,7.39715
328.157,8.98709
328.231,10.8425
328.305,13.4861
328.37,16.7883
328.432,21.1518
328.487,26.4141
328.542,33.3812
328.596,42.4855
328.66,56.3913
328.723,74.0382
328.803,102.675
328.912,151.579
329.108,247.454
329.2,278.944
329.295,291.819
329.302,291.873
329.381,283.779
329.469,258.109
329.62,189.484
329.754,126.963
329.84,95.5101
329.906,77.5513
329.963,66.6607
330.021,60.1463
330.078,57.8804
330.129,59.2744
330.192,65.2995
330.255,75.8559
330.338,95.9545
330.468,137.571
330.627,188.843
330.715,207.358
330.795,213.256
330.886,206.047
330.978,185.048
331.137,130.633
331.267,85.744
331.348,62.6354
331.416,47.4501
331.483,35.6382
331.547,27.1913
331.607,21.2301
331.661,17.1894
331.721,13.8311
331.786,11.1948
331.858,9.11045
331.936,7.52015
332.018,6.33277
332.12,5.27126
332.243,4.369
332.393,3.58638
332.574,2.92363
332.796,2.3522
333.049,1.90043
333.301,1.57709
333.638,1.26941
334.023,1.02469
334.432,0.840859
334.913,0.686912
335.454,0.564485
336.043,0.469638
336.776,0.386633
337.57,0.324462
338.496,0.274138
339.434,0.238888
340.685,0.207822
342.248,0.18544
343.954,0.17573
344.41,0.175452
346.019,0.182554
347.174,0.197516
348.102,0.218534
349.03,0.252265
349.824,0.297495
350.505,0.356871
351.062,0.429331
351.567,0.526227
351.928,0.624767
352.278,0.757718
352.603,0.93229
352.887,1.14988
353.14,1.42721
353.346,1.74761
353.526,2.13896
353.681,2.6055
353.815,3.16733
353.939,3.90243
354.042,4.78859
354.124,5.80479
354.202,7.16854
354.271,8.93322
354.335,11.2115
354.39,13.9644
354.446,17.6753
354.502,22.6409
354.56,29.4766
354.621,39.1487
354.681,51.2164
354.755,70.3284
354.842,98.3989
355.096,196.119
355.201,224.643
355.298,234.235
355.3,234.237
355.379,227.959
355.482,203.349
355.634,146.117
355.77,93.9047
355.853,67.8898
355.925,49.7877
355.987,37.6787
356.049,28.3714
356.108,21.6111
356.164,16.9059
356.22,13.3945
356.275,10.8317
356.336,8.72219
356.406,7.00996
356.485,5.67262
356.558,4.78933
356.661,3.90367
356.785,3.16987
356.919,2.60976
357.074,2.14533
357.254,1.75641
357.46,1.43871
357.713,1.16461
357.997,0.95059
358.322,0.780108
358.672,0.651661
359.105,0.542597
359.611,0.458217
360.157,0.398988
360.828,0.354803
361.632,0.328376
362.23,0.322194
363.063,0.329866
363.896,0.356788
364.681,0.403894
365.37,0.470691
365.944,0.55416
366.496,0.671877
366.978,0.823532
367.392,1.01242
367.759,1.2546
368.081,1.56066
368.334,1.90084
368.575,2.3568
368.764,2.85631
368.937,3.48042
369.08,4.19323
369.216,5.12336
369.333,6.25932
369.431,7.60341
369.514,9.23851
369.595,11.4845
369.659,14.0177
369.721,17.3712
369.783,21.9769
369.845,28.2881
369.907,36.8502
369.965,47.3123
370.029,62.5323
370.099,83.9567
370.18,115.196
370.292,169.616
370.493,274.427
370.599,312.605
370.699,325.693
370.7,325.693
370.788,315.54
370.875,287.957
371.012,220.716
371.18,133.212
371.27,95.0779
371.342,70.6399
371.404,54.1557
371.464,41.7719
371.521,32.6124
371.573,26.2631
371.633,20.7001
371.695,16.4638
371.757,13.3775
371.826,10.9001
371.902,8.96028
371.984,7.45465
372.088,6.12841
372.199,5.11851
372.343,4.1982
372.515,3.43425
372.676,2.93055
372.906,2.43542
373.136,2.12073
373.366,1.94266
373.539,1.89504
373.714,1.94435
373.857,2.10705
373.963,2.37203
374.034,2.67299
374.105,3.13623
374.168,3.73887
374.228,4.56778
374.29,5.77809
374.353,7.45127
374.415,9.70209
374.483,12.9127
374.555,17.3632
374.649,24.5676
374.902,47.2153
375.003,53.3571
375.099,55.4668
375.187,53.7265
375.28,48.3999
375.433,35.1226
375.572,22.6359
375.658,16.213
375.729,12.0761
375.795,9.01879
375.856,6.901
375.914,5.37073
375.971,4.24703
376.029,3.42027
376.086,2.81769
376.153,2.31932
376.229,1.93161
376.307,1.66712
376.405,1.44659
376.522,1.27353
376.678,1.12549
376.921,0.991113
377.181,0.916752
377.528,0.882992
377.935,0.911085
378.342,1.00884
378.704,1.17
379.019,1.39688
379.29,1.69467
379.516,2.06229
379.696,2.48314
379.866,3.04942
379.992,3.63583
380.117,4.46721
380.217,5.4355
380.297,6.54212
380.361,7.76555
380.426,9.44156
380.488,11.6912
380.544,14.4687
380.6,18.2093
380.656,23.217
380.708,29.3092
380.768,38.4727
380.828,50.3631
380.899,68.186
380.979,94.0985
381.085,136.624
381.286,223.987
381.388,256.144
381.489,269.346
381.5,269.476
381.588,261.051
381.692,231.954
381.856,162.685
381.989,105.888
382.077,75.2194
382.149,55.4021
382.214,41.6706
382.274,31.7473
382.334,24.2248
382.393,18.7537
382.451,14.7115
382.51,11.7464
