71-Lu-176(n,&gamma;) ENDF/B-VII.1
37.0044,737.238
37.0394,657.078
37.1422,315.523
37.1727,233.025
37.1996,175.43
37.2247,133.984
37.2499,102.798
37.2714,82.7198
37.2953,66.0137
37.3192,53.7504
37.3455,43.9453
37.3754,36.0211
37.4113,29.4356
37.4484,24.7235
37.4962,20.5496
37.5536,17.2662
37.6031,15.4081
37.6655,13.9704
37.7279,13.3604
37.7487,13.3366
37.7969,13.6743
37.8457,14.7429
37.8848,16.4133
37.921,19.0371
37.9485,22.1437
37.9761,26.707
38.0002,32.3906
38.0243,40.204
38.0485,50.7372
38.0726,64.5602
38.1001,84.9149
38.1346,117.251
38.2265,219.427
38.2591,245.675
38.295,258.169
38.2992,258.323
38.3349,248.398
38.3758,215.876
38.4729,107.804
38.5042,79.4762
38.5326,59.2502
38.559,44.946
38.5831,35.1354
38.6064,28.052
38.6316,22.3953
38.6538,18.7478
38.679,15.6517
38.7123,12.7676
38.7525,10.4224
38.7927,8.81282
38.8456,7.34148
38.9087,6.13864
38.9846,5.15375
39.081,4.3132
39.1959,3.65523
39.3107,3.21473
39.4715,2.81317
39.6783,2.51609
39.885,2.37314
40.0458,2.33958
40.3184,2.42341
40.5,2.58956
40.6817,2.87711
40.8645,3.35275
41.0025,3.91047
41.1174,4.5897
41.217,5.43358
41.309,6.554
41.3856,7.89591
41.4527,9.57273
41.5102,11.6339
41.5542,13.8737
41.5925,16.6191
41.6232,19.7126
41.6538,24.1366
41.6788,29.2911
41.7017,35.944
41.7247,45.2343
41.7448,56.3579
41.765,71.1973
41.7841,89.7156
41.8033,113.468
41.827,151.548
41.8516,202.213
41.8826,283.638
41.9259,424.039
41.9834,618.209
42.0171,702.859
42.0526,744.439
42.0602,745.795
42.0907,724.119
42.1305,638.324
42.2292,322.164
42.2587,246.814
42.2845,197.001
42.3068,166.38
42.3291,146.648
42.3531,136.151
42.3692,134.42
42.3921,137.813
42.4355,156.734
42.501,189.985
42.5418,198.114
42.5811,190.868
42.6164,172.42
42.6793,123.251
42.7314,82.2489
42.7657,60.3562
42.7958,45.4437
42.8215,35.6514
42.8464,28.4396
42.8739,22.5522
42.9014,18.3141
42.9323,14.9474
42.962,12.6604
42.9987,10.6733
43.0444,8.97124
43.0994,7.58312
43.1681,6.40581
43.2539,5.42233
43.3397,4.75633
43.4632,4.12929
43.6119,3.69256
43.7902,3.46152
43.8642,3.43921
44.0551,3.57465
44.2143,3.94978
44.3416,4.52401
44.4425,5.28651
44.5255,6.28357
44.5808,7.27677
44.6295,8.52944
44.6731,10.1558
44.7081,12.0216
44.7401,14.4265
44.7692,17.4682
44.7983,21.6685
44.8274,27.4454
44.8554,34.9312
44.8834,44.707
44.9176,60.1195
44.959,83.7563
45.0485,140.99
45.0858,158.084
45.1256,165.845
45.13,165.926
45.1649,161.018
45.21,141.969
45.3221,72.3307
45.3606,53.1249
45.3912,41.3996
45.4217,32.5861
45.4523,26.2347
45.4817,21.9466
45.5148,18.7269
45.5432,16.9456
45.581,15.5639
45.6306,14.9746
45.6657,15.2235
45.7126,16.413
45.7478,18.106
45.7829,20.7991
45.8131,24.3084
45.8401,28.8412
45.8671,35.2739
45.894,44.3608
45.9188,55.818
45.9457,72.7031
45.9727,95.1559
46.0017,126.297
46.0357,172.39
46.1458,351.191
46.1858,393.732
46.2195,405.918
46.2488,396.725
46.2807,367.356
46.3279,297.886
46.4032,172.749
46.4381,125.44
