48-Cd-110(n,&gamma;) ENDF/B-VII.1
801.48,32.9368
801.625,24.9215
801.767,19.011
801.895,14.9867
802.03,11.839
802.175,9.38315
802.32,7.60781
802.481,6.18475
802.668,5.01266
802.861,4.14592
803.092,3.39503
803.35,2.792
803.678,2.24096
804.006,1.8437
804.392,1.50123
804.843,1.21177
805.358,0.974
805.921,0.786852
806.516,0.642665
807.192,0.522694
807.997,0.419456
808.898,0.336776
809.927,0.269146
811.054,0.216279
812.341,0.17319
813.66,0.141452
815.205,0.114751
816.878,0.0944329
818.166,0.0834584
819.774,0.0750845
820.418,0.0739976
821.115,0.0755718
821.491,0.078785
821.866,0.0860643
822.101,0.0962177
822.242,0.107481
822.367,0.123944
822.468,0.14424
822.568,0.174217
822.656,0.211795
822.744,0.263985
822.832,0.335641
822.92,0.432659
823.008,0.561929
823.096,0.731155
823.184,0.948502
823.285,1.26616
823.398,1.72437
823.519,2.34141
823.677,3.35144
823.931,5.32037
824.213,7.46597
824.393,8.4027
824.574,8.73937
824.743,8.44111
824.912,7.61128
825.178,5.63807
825.459,3.43098
825.618,2.40452
825.741,1.76194
825.852,1.30283
825.948,0.985804
826.045,0.738324
826.128,0.573517
826.214,0.441774
826.294,0.346738
826.374,0.274263
826.455,0.219621
826.545,0.17451
826.626,0.145352
826.726,0.119361
826.827,0.101511
826.933,0.0886028
827.073,0.0772035
827.249,0.0682215
827.531,0.0595203
827.953,0.051666
828.516,0.0450977
829.361,0.0389285
830.565,0.0334937
832.359,0.0283829
834.513,0.0243225
837.223,0.020573
841.048,0.0168477
845.51,0.0138622
851.246,0.0112645
857.62,0.00938626
861.445,0.0085818
866.544,0.0078445
871.644,0.00741473
876.622,0.00728155
881.601,0.00746768
887.824,0.00830465
892.18,0.00954583
895.292,0.0109977
897.781,0.012697
899.648,0.0144391
902.137,0.0176369
904.004,0.021194
905.56,0.0253328
907.077,0.0309699
908.438,0.0381158
909.605,0.0466688
910.559,0.0564854
911.513,0.0702723
912.301,0.08655
912.92,0.104453
913.509,0.128438
913.951,0.153781
914.319,0.183174
914.613,0.21676
914.81,0.24932
914.982,0.291664
915.129,0.347708
915.252,0.419134
915.362,0.514744
915.45,0.623079
915.536,0.766478
915.622,0.960317
915.708,1.2206
915.794,1.56682
915.88,2.022
915.973,2.67018
916.071,3.56528
916.17,4.72275
916.28,6.39186
916.393,8.54976
916.53,11.8336
916.705,16.9857
917.174,33.05
917.386,38.2852
917.581,40.2196
917.599,40.2358
917.786,38.7534
917.975,34.5863
918.285,24.4148
918.531,16.2781
918.692,11.9135
918.83,9.02096
918.932,7.42233
919.037,6.25799
919.1,5.79667
919.184,5.45902
919.227,5.41045
919.311,5.56029
919.395,6.05416
919.48,6.91752
919.564,8.1844
919.665,10.2842
919.77,13.2449
919.887,17.5522
920.011,23.355
920.161,32.1399
920.386,48.3703
920.775,78.1518
920.981,88.92
921.18,92.6286
921.367,89.2694
921.558,79.7382
921.87,56.5519
922.145,35.5956
922.304,25.5758
922.435,18.8879
922.557,13.9496
922.663,10.5863
922.768,7.96141
922.862,6.15445
922.955,4.75682
923.049,3.69097
923.147,2.8532
923.246,2.2365
923.344,1.785
923.447,1.44133
923.56,1.17321
923.691,0.955296
923.841,0.785526
924.028,0.642903
924.262,0.523674
924.543,0.42593
924.89,0.342109
925.284,0.275379
925.677,0.227238
926.127,0.186762
926.651,0.152283
927.251,0.123711
927.907,0.101009
928.638,0.0825633
929.556,0.0659483
930.474,0.0540234
