25-Mn-55(n,&gamma;) ENDF/B-VII.1
10882.2,0.0300888
10883.8,0.0346781
10885.4,0.0415139
10886.5,0.0487819
10887.5,0.0581012
10888.4,0.0704366
10889.1,0.0862412
10889.7,0.105152
10890.2,0.130447
10890.8,0.165436
10891.4,0.213455
10892.0,0.278436
10892.5,0.362021
10893.2,0.481996
10893.8,0.635701
10894.5,0.861628
10895.4,1.23003
10897.8,2.2662
10898.8,2.62089
10899.8,2.75075
10899.9,2.75164
10900.9,2.65547
10901.9,2.36462
10903.5,1.64854
10904.8,1.07075
10905.6,0.780473
10906.3,0.575599
10906.9,0.434659
10907.5,0.325941
10908.1,0.251867
10908.7,0.193737
10909.2,0.151029
10909.8,0.120016
10910.4,0.0981464
10911.0,0.0812161
10911.7,0.0673204
10912.4,0.0575915
10913.4,0.0481033
10914.7,0.0402049
10916.3,0.033785
10918.2,0.028706
10920.6,0.0245812
10923.3,0.0214429
10926.7,0.0188735
10931.0,0.0167986
10935.8,0.01534
10945.4,0.0137027
10955.1,0.0128391
10967.9,0.0121927
10994.8,0.0115397
11090.0,0.0107982
11467.4,0.00978822
11527.7,0.00972725
11586.9,0.0100117
11602.1,0.0105801
11608.2,0.0111703
11613.2,0.0121321
11616.1,0.0131531
11618.5,0.0146081
11620.3,0.016608
11621.3,0.0185337
11622.1,0.0211043
11622.8,0.024281
11623.4,0.0290878
11624.0,0.0353247
11624.6,0.0434614
11625.0,0.0533113
11625.5,0.0663594
11626.0,0.0834122
11626.5,0.105353
11627.1,0.139407
11627.7,0.18574
11628.3,0.247273
11629.1,0.346827
11630.2,0.520645
11632.0,0.810509
11633.1,0.936605
11634.1,0.982662
11634.2,0.982993
11635.2,0.944089
11636.3,0.826404
11639.1,0.375289
11639.9,0.26969
11640.7,0.195873
11641.2,0.147677
11641.8,0.110406
11642.4,0.0848814
11642.9,0.0656274
11643.5,0.0513829
11644.0,0.0410204
11644.5,0.033573
11645.1,0.0282588
11645.7,0.0239902
11646.5,0.02038
11647.5,0.0176806
11648.9,0.015542
11651.0,0.0138458
11653.7,0.0125505
11657.5,0.0115292
11663.2,0.0107312
11674.7,0.0100499
11697.3,0.00962493
11798.5,0.00923169
12399.5,0.00857769
12447.3,0.00856031
12574.8,0.0087539
12606.6,0.00902944
12629.1,0.0095451
12642.1,0.0102128
12652.8,0.0113031
12659.1,0.0124645
12664.3,0.0140531
12668.8,0.0163312
12672.3,0.0191957
12675.0,0.0226367
12677.1,0.0267109
12678.8,0.0318171
12680.2,0.0380877
12681.2,0.0443751
12682.0,0.052419
12682.7,0.0624714
12683.3,0.0743195
12683.8,0.0908335
12684.4,0.112646
12684.9,0.140882
12685.4,0.178931
12686.0,0.229733
12686.5,0.296653
12687.0,0.388933
12687.6,0.514906
12688.3,0.693439
12688.9,0.932101
12689.7,1.29137
12690.9,1.90693
12692.9,3.04565
12694.0,3.51111
12695.0,3.6761
12695.1,3.67726
12696.1,3.53664
12697.2,3.12546
12699.1,2.07032
12700.4,1.33676
12701.2,0.97376
12701.9,0.708119
12702.5,0.529396
12703.1,0.40022
12703.7,0.301056
12704.2,0.234773
12704.7,0.18402
12705.2,0.146594
12705.7,0.116886
12706.3,0.0949526
12706.9,0.076527
12707.5,0.0635439
12708.2,0.053164
12709.0,0.0451259
12710.0,0.0379415
12711.3,0.0320366
12713.1,0.0268503
12715.1,0.0228177
12717.5,0.0195547
12720.9,0.0166216
12724.8,0.0145052
12729.9,0.0127329
12736.6,0.0113759
12744.6,0.0104297
12757.1,0.00962797
12778.4,0.00899857
12810.8,0.00861089
12897.0,0.00830629
13457.6,0.00788985
14461.1,0.00762161
14630.3,0.00776255
14664.8,0.0081111
14679.7,0.00870724
14685.7,0.00929436
14689.6,0.00997875
14693.5,0.0111801
14695.8,0.0125078
14697.5,0.0141781
14698.5,0.0159654
14699.4,0.0182392
14700.1,0.021298
14700.7,0.0251723
14701.3,0.0307642
14701.9,0.0372562
14702.4,0.0456701
14702.8,0.0564974
14703.3,0.0705448
14703.9,0.0926652
14704.5,0.121792
14705.1,0.159256
14705.8,0.215069
14706.6,0.296279
14707.5,0.419989
14709.4,0.715725
14710.8,0.920575
14712.0,1.03434
14712.9,1.064
14713.9,1.02601
14715.0,0.920362
14716.6,0.675657
14718.3,0.419855
14719.2,0.303827
14719.9,0.223133
14720.6,0.16641
14721.2,0.126178
14721.8,0.0950828
14722.3,0.0745896
14722.9,0.0587835
14723.5,0.0456044
14724.0,0.036209
14724.6,0.0294413
14725.2,0.0246051
14725.8,0.0207493
14726.6,0.0175918
14727.6,0.0152603
14728.7,0.013676
14730.0,0.0124721
14732.7,0.0110473
14736.9,0.00984306
14741.6,0.00912787
14747.9,0.00861251
14761.6,0.00812277
14801.7,0.00780157
14818.8,0.00778174
14869.3,0.00792545
14899.8,0.0083826
14913.6,0.00900378
14921.8,0.00980779
14928.0,0.0109707
14932.1,0.0123556
14935.1,0.0140742
14937.7,0.016427
14939.2,0.0186867
14940.4,0.0214075
14941.4,0.0251136
14942.3,0.0300455
14943.0,0.036067
14943.6,0.0436926
14944.1,0.0538477
14944.7,0.0682859
14945.2,0.0845281
14945.7,0.105724
14946.1,0.133089
14946.7,0.176017
14947.3,0.232429
14947.9,0.30495
14948.5,0.407389
14949.2,0.544846
14950.0,0.759285
14951.1,1.10152
14953.5,1.8878
14954.7,2.18671
14955.8,2.29571
14955.9,2.2967
14956.9,2.22198
14958.0,1.99453
14959.7,1.44935
14961.4,0.883055
14962.2,0.640684
14963.0,0.472291
14963.6,0.354811
14964.2,0.269228
14964.8,0.202426
14965.3,0.157122
14965.9,0.119536
14966.4,0.0931036
14967.0,0.073276
14967.4,0.0599885
14968.0,0.047731
14968.6,0.0390466
14969.2,0.0328833
14969.9,0.0275653
14970.7,0.0238552
14971.7,0.0207786
14973.0,0.0180295
14974.9,0.0155874
14977.6,0.0134805
14980.8,0.0119313
14985.9,0.0104873
14993.6,0.00937331
15006.4,0.00854618
15027.3,0.00804032
15084.6,0.00768063
15412.0,0.00752722
15960.4,0.00768214
16065.8,0.00801655
16101.2,0.00853315
16121.2,0.0093681
16132.6,0.0104583
16139.7,0.0117447
16145.5,0.013537
16149.7,0.0158001
16152.7,0.0182915
16155.2,0.0214175
16157.2,0.0251604
16158.9,0.029804
16160.0,0.0346342
16161.0,0.0408612
16161.9,0.0487513
16162.6,0.058785
16163.3,0.0708879
16163.9,0.087625
16164.6,0.110762
16165.2,0.142561
16165.8,0.183001
16166.4,0.239893
16167.1,0.314621
16167.8,0.42276
16168.5,0.56136
16169.3,0.755883
16170.4,1.08051
16173.6,2.22113
16174.8,2.53493
16176.0,2.64234
16176.0,2.64234
16177.1,2.55377
16178.3,2.27299
16180.2,1.60189
16181.8,1.01901
16182.8,0.725297
16183.6,0.536919
16184.4,0.397654
16185.0,0.300359
16185.7,0.225908
16186.3,0.173806
16187.0,0.134696
16187.6,0.105744
16188.2,0.0845212
16188.8,0.0694108
16189.6,0.0561145
16190.3,0.0468967
16191.1,0.0403718
16192.1,0.0343122
16193.4,0.0291097
16194.9,0.0248686
16196.9,0.0212835
16199.6,0.0180343
16203.1,0.0152795
16207.4,0.0132286
16212.6,0.0117076
16219.4,0.0104909
16228.5,0.00956608
16244.5,0.00876281
16260.5,0.00837736
16291.6,0.00804397
16424.0,0.0077866
16437.2,0.00778429
16900.7,0.00811737
17203.9,0.0088342
17367.9,0.00977827
17473.1,0.0110273
17526.6,0.0121256
17580.1,0.0139204
17621.0,0.0161924
17652.0,0.0190044
17674.1,0.0221094
17689.4,0.0252175
17703.6,0.0293653
17714.6,0.0342676
17719.4,0.0377034
17721.7,0.0412653
17723.2,0.0460379
17724.2,0.0519672
17725.0,0.0597564
17725.8,0.0713817
17726.6,0.0882791
17727.4,0.112026
17728.3,0.144135
17729.2,0.190414
17730.2,0.26021
17732.2,0.417022
17733.8,0.542671
17735.1,0.614206
17736.2,0.634101
17737.3,0.613307
17738.6,0.550353
17740.7,0.380662
17742.3,0.260318
17743.4,0.191394
17744.4,0.147502
17745.3,0.118438
17746.1,0.098144
17747.0,0.0851235
17747.8,0.0769142
17748.9,0.0710566
17750.6,0.0684485
17754.0,0.0713723
17759.6,0.0824427
17765.5,0.0996553
17770.5,0.120474
17774.9,0.14527
17779.2,0.180478
17782.9,0.222185
17785.9,0.270519
17788.7,0.331816
17791.3,0.409407
17793.5,0.50295
17795.7,0.629966
17797.7,0.786168
17799.6,0.999977
17801.5,1.2769
17803.5,1.66428
17806.3,2.35838
17810.0,3.31051
17812.2,3.63863
17813.4,3.69438
17815.3,3.57055
17817.5,3.16506
17822.9,1.76921
17825.0,1.33829
17826.9,1.04219
17828.7,0.83826
17830.6,0.669716
17832.6,0.546106
17834.8,0.442944
17837.4,0.358477
17840.3,0.291076
17843.4,0.239969
17847.3,0.194348
17851.3,0.161536
17856.1,0.134927
17860.8,0.11646
17867.5,0.0989671
17875.6,0.0865355
17882.4,0.0807338
17890.4,0.0775493
17894.5,0.0771995
17906.0,0.0801127
17917.4,0.0886668
17928.2,0.10274
17937.6,0.121303
17947.1,0.147698
17956.7,0.18502
17967.5,0.24122
17983.7,0.336226
17989.1,0.357406
17994.8,0.366059
18002.0,0.353688
18010.7,0.311964
18028.6,0.203728
18038.8,0.156592
18047.8,0.125397
18057.2,0.101069
18068.0,0.0809006
18079.7,0.0653386
18092.3,0.0534141
18106.9,0.0436427
18121.1,0.0368799
18141.3,0.0301244
18161.5,0.0255087
18185.8,0.0216866
18211.0,0.0189338
18248.7,0.0161924
18291.9,0.0142075
18345.8,0.0126722
18432.2,0.0113142
18550.8,0.0104665
18667.7,0.0101962
18730.7,0.010367
18757.6,0.0107558
18775.6,0.0114336
18787.2,0.0125532
18793.7,0.0138987
18797.5,0.0153068
18801.4,0.0177051
18803.4,0.0196737
18805.0,0.0221785
18806.4,0.0256542
18807.4,0.0300446
18808.3,0.0358516
18809.0,0.0428147
18809.7,0.0529163
18810.3,0.065427
18811.0,0.0826547
18811.6,0.104864
18812.1,0.134362
18812.7,0.172995
18813.4,0.228468
18814.1,0.307673
18814.8,0.411113
18815.6,0.560363
18816.5,0.762171
18817.7,1.11169
18820.6,2.00444
18821.8,2.2812
18823.1,2.39104
18823.2,2.39201
18824.4,2.30076
18825.7,2.02875
18827.9,1.3641
18829.4,0.894144
18830.4,0.632177
18831.2,0.468492
18832.0,0.34281
18832.7,0.261826
18833.3,0.19855
18834.0,0.150202
18834.6,0.116242
18835.2,0.0898472
18835.8,0.0704819
18836.4,0.057778
18837.1,0.0463113
18837.8,0.0383652
18838.6,0.0319433
18839.4,0.0276988
18840.6,0.0239113
18842.0,0.0210887
18844.3,0.0182549
18847.7,0.0158373
18852.5,0.0139703
18858.8,0.0126259
18868.8,0.011573
18878.8,0.0110598
18898.8,0.0105982
18970.1,0.0102651
19108.6,0.0105353
19116.8,0.0107187
19119.3,0.0110232
19120.9,0.0116479
19122.2,0.0127944
19123.2,0.0143895
19124.3,0.0169346
19125.3,0.0207674
19126.3,0.0263452
19127.4,0.0339507
19129.0,0.0487356
19131.5,0.072133
19132.9,0.0809848
19133.9,0.082913
19135.1,0.0802768
19136.3,0.0729405
19138.5,0.052299
19140.3,0.0358473
19141.5,0.0268603
19142.5,0.0212785
19143.4,0.0176384
19144.4,0.0148688
19145.5,0.0131152
19146.5,0.0120627
19147.9,0.0113007
19150.7,0.0108341
19165.8,0.0106549
19392.8,0.0115011
19630.2,0.0130703
19832.4,0.0151788
19996.0,0.0178113
20125.2,0.0208989
20173.5,0.0226566
20198.5,0.0244344
20210.1,0.0265641
20214.5,0.028374
20217.7,0.0308094
20219.6,0.033677
20221.1,0.0377877
20222.0,0.0425301
20223.0,0.0501688
20223.8,0.0606377
20224.5,0.0739113
20225.2,0.0898051
20225.8,0.110944
20226.4,0.138609
20227.2,0.182378
20228.0,0.239902
20228.8,0.318695
20229.7,0.430641
20230.9,0.617131
20234.3,1.22679
20235.7,1.39582
20237.0,1.4525
20238.2,1.40414
20239.4,1.25721
20241.4,0.919362
20243.3,0.568827
20244.4,0.409046
20245.3,0.304375
20246.1,0.229937
20246.8,0.176542
20247.5,0.137545
20248.2,0.108017
20248.9,0.0861258
20249.6,0.0702025
20250.3,0.0587941
20251.1,0.0497569
20252.0,0.0431791
20252.7,0.0394545
20254.3,0.0350478
20255.8,0.0327078
20258.8,0.0303167
20264.1,0.0284747
20269.3,0.027655
20284.7,0.0270536
20357.5,0.0295616
