45-Rh-103(n,&gamma;) ENDF/B-VII.1
107.6,0.0636254
107.875,0.067485
108.062,0.072946
108.156,0.078466
108.25,0.0888207
108.312,0.100733
108.375,0.119093
108.437,0.146452
108.495,0.181674
108.562,0.236903
108.651,0.330482
108.802,0.503533
108.88,0.563942
108.951,0.584005
109.03,0.561447
109.113,0.495343
109.31,0.28176
109.385,0.219507
109.448,0.182126
109.51,0.157021
109.568,0.142904
109.643,0.134318
109.681,0.133181
109.756,0.13561
109.871,0.149289
109.972,0.171966
110.052,0.201452
110.122,0.241316
110.178,0.287545
110.235,0.35545
110.285,0.440064
110.336,0.555188
110.389,0.716243
110.44,0.918181
110.502,1.23761
110.578,1.7289
110.769,3.1805
110.849,3.60493
110.924,3.76294
110.929,3.76388
111.004,3.63111
111.086,3.206
111.31,1.54111
111.379,1.13051
111.438,0.856181
111.49,0.668205
111.542,0.526632
111.595,0.422929
111.646,0.349754
111.706,0.291108
111.765,0.252595
111.825,0.228287
111.884,0.214537
111.954,0.209435
112.042,0.219052
112.114,0.240921
112.186,0.276129
112.292,0.349526
112.469,0.4855
112.566,0.526167
112.603,0.53013
112.687,0.514246
112.79,0.457058
112.959,0.340638
113.044,0.30143
113.12,0.286199
113.131,0.285815
113.198,0.294329
113.258,0.320173
113.32,0.37041
113.375,0.440142
113.43,0.541856
113.484,0.684915
113.536,0.866913
113.597,1.15286
113.665,1.56477
113.759,2.28249
113.912,3.52189
113.993,3.96541
114.069,4.11582
114.146,3.96439
114.232,3.48363
114.453,1.71117
114.521,1.268
114.584,0.945243
114.638,0.732853
114.692,0.57291
114.746,0.455525
114.8,0.37154
114.859,0.306062
114.928,0.254215
115.007,0.215407
115.086,0.189647
115.191,0.166832
115.331,0.14759
115.506,0.132944
115.745,0.121638
116.04,0.114753
116.434,0.111832
117.156,0.115749
118.054,0.130555
118.929,0.155023
119.678,0.186644
120.297,0.224076
120.89,0.275062
121.415,0.339679
121.886,0.422545
122.269,0.517723
122.641,0.648022
122.948,0.799355
123.232,0.997162
123.462,1.2201
123.681,1.51481
123.872,1.87585
124.037,2.30582
124.173,2.79618
124.305,3.44381
124.414,4.19306
124.506,5.05974
124.583,6.04694
124.659,7.42274
124.725,9.09518
124.784,11.2074
124.837,13.7985
124.891,17.5154
124.941,22.0728
124.99,28.1417
125.039,36.1126
125.091,46.8934
125.152,63.5194
125.221,87.6742
125.319,130.01
125.478,201.888
125.562,227.414
125.639,235.68
125.707,229.403
125.784,207.928
125.905,155.938
126.034,97.1805
126.104,71.0233
126.163,53.3433
126.217,40.6158
126.271,30.8508
126.321,24.1291
126.373,18.7651
126.423,15.0441
126.472,12.27
126.529,9.91993
126.594,7.99409
126.66,6.6231
126.745,5.35999
126.844,4.34484
126.962,3.49312
127.085,2.86369
127.238,2.29933
127.391,1.89199
127.583,1.523
127.802,1.22321
128.026,1.00201
128.289,0.814243
128.6,0.6553
128.945,0.530592
129.339,0.429479
129.799,0.346789
130.28,0.285837
130.806,0.238391
131.419,0.199209
132.119,0.168092
132.907,0.143967
133.695,0.127439
134.833,0.112244
135.971,0.103667
137.287,0.0994572
137.726,0.0991379
139.524,0.102792
141.2,0.113497
142.755,0.131346
143.951,0.152709
144.998,0.179556
146.075,0.219306
146.972,0.267243
147.705,0.322371
148.378,0.392561
149.006,0.484323
149.574,0.601737
150.053,0.740432
150.464,0.90442
150.83,1.10457
151.197,1.38409
151.511,1.72246
151.773,2.11381
152.027,2.64323
152.236,3.25123
152.438,4.07111
152.595,4.95756
152.743,6.10953
152.879,7.60175
152.996,9.42675
153.086,11.3959
153.175,14.1707
153.247,17.3025
153.319,21.6806
153.379,26.7055
153.437,33.2737
153.5,42.7958
153.563,55.5832
