66-Dy-164(n,&gamma;) ENDF/B-VII.1
802.41,0.412331
802.503,0.507348
802.587,0.631388
802.668,0.797366
802.737,0.990415
802.806,1.24541
802.875,1.57965
802.954,2.08254
803.031,2.72923
803.108,3.56328
803.195,4.76572
803.286,6.38395
803.391,8.70432
803.522,12.3181
803.908,24.8747
804.074,28.7827
804.222,30.2009
804.239,30.2185
804.375,29.2495
804.517,26.3816
804.732,19.7293
804.966,12.0794
805.099,8.45764
805.21,6.07156
805.301,4.53241
805.385,3.40629
805.462,2.60812
805.537,2.00462
805.614,1.53284
805.691,1.17995
805.768,0.919194
805.845,0.728132
805.925,0.58278
806.006,0.478144
806.1,0.391648
806.208,0.32366
806.343,0.26675
806.477,0.227884
806.669,0.189434
806.877,0.160465
807.146,0.133881
807.469,0.111711
807.869,0.093008
808.33,0.0785514
808.791,0.0686791
809.337,0.0606071
809.869,0.0551571
810.934,0.0484796
811.998,0.0450167
813.35,0.04328
814.702,0.0428352
817.691,0.0452917
821.012,0.0515339
824.333,0.0614186
827.322,0.0742838
829.813,0.0891397
832.304,0.10947
834.545,0.13511
836.538,0.166822
838.281,0.205181
839.9,0.254481
841.353,0.316072
842.599,0.388977
843.761,0.482418
844.778,0.595866
845.754,0.747534
846.584,0.927883
847.362,1.1648
848.016,1.44314
848.639,1.81436
849.193,2.28206
849.643,2.81226
850.071,3.51182
850.42,4.30193
850.735,5.28072
851.026,6.52632
851.266,7.94776
851.499,9.85086
851.698,12.1415
851.881,15.0958
852.026,18.3405
852.171,22.7563
852.312,28.6322
852.437,35.577
852.578,46.0411
852.728,60.8247
852.885,81.1606
853.085,113.657
853.498,190.038
853.704,216.811
853.89,225.373
854.059,218.16
854.255,194.12
854.801,95.3937
854.976,70.0035
855.131,52.4381
855.262,41.1485
855.387,32.8868
855.523,26.0425
855.661,20.9866
855.8,17.1861
855.974,13.7367
856.148,11.2664
856.348,9.21586
856.58,7.48933
856.846,6.07028
857.136,4.94714
857.493,3.95577
857.892,3.16979
858.34,2.5402
858.805,2.06898
859.37,1.65505
859.951,1.34669
860.636,1.08282
861.362,0.879968
862.193,0.711207
863.189,0.56607
864.185,0.461577
865.306,0.375634
866.614,0.302481
868.004,0.246035
869.665,0.197333
871.491,0.158963
873.484,0.128798
875.643,0.105075
877.967,0.086455
880.624,0.0707774
883.613,0.0579777
887.1,0.0472701
891.085,0.0386121
895.735,0.0316091
900.384,0.0267284
905.698,0.0229868
910.457,0.0209298
914.325,0.0202561
917.279,0.0209368
919.016,0.0224943
920.144,0.0246279
921.084,0.0278793
921.648,0.0310826
922.212,0.0360629
922.682,0.0427055
923.008,0.0497421
923.297,0.0590969
923.499,0.0689152
923.673,0.0816185
923.799,0.0956142
923.913,0.114288
924.011,0.137746
924.092,0.165251
924.174,0.203114
924.248,0.24994
924.324,0.31419
924.4,0.399912
924.475,0.513101
924.551,0.660638
924.636,0.875776
924.727,1.17452
924.826,1.60082
924.929,2.16145
925.052,3.0005
925.214,4.3619
925.547,7.40237
925.724,8.55496
925.883,8.97392
925.899,8.97798
926.045,8.68927
926.189,7.88154
926.421,5.90204
926.682,3.51848
926.826,2.45025
926.941,1.76472
927.043,1.29522
927.133,0.969475
927.22,0.728441
927.296,0.565924
927.372,0.440508
927.448,0.345045
927.52,0.276173
927.592,0.224048
927.679,0.178194
927.766,0.145605
927.867,0.119128
927.975,0.0998463
928.106,0.0843272
928.257,0.0722773
928.474,0.0609867
928.706,0.0529056
929.067,0.0444847
929.429,0.0389441
929.863,0.0344733
930.297,0.0314534
931.164,0.027899
932.032,0.0262539
932.9,0.0257894
933.918,0.0264738
934.936,0.0286522
935.833,0.0324686
936.489,0.0372342
937.036,0.0434836
937.481,0.0512421
937.83,0.0602434
938.122,0.0710307
938.385,0.0851743
938.56,0.0987982
938.713,0.115832
938.844,0.137246
938.953,0.163371
939.048,0.195823
939.137,0.239051
939.227,0.300195
939.303,0.372587
939.38,0.469957
939.46,0.607202
939.536,0.781516
939.613,1.00904
939.69,1.30162
939.773,1.71138
939.865,2.28045
939.965,3.07467
940.082,4.24041
940.233,6.11617
940.648,11.9835
940.814,13.5999
940.976,14.1853
940.98,14.1857
941.132,13.6926
941.283,12.3203
941.528,8.97522
941.767,5.57081
941.899,4.01644
942.017,2.88499
942.117,2.13152
942.208,1.59549
942.296,1.19723
942.372,0.927789
942.449,0.71927
942.526,0.560163
942.602,0.440192
942.671,0.357994
942.744,0.292297
942.832,0.234576
942.919,0.193434
943.021,0.159716
943.145,0.132053
943.298,0.109669
943.473,0.092742
943.692,0.0783362
943.976,0.0655304
944.305,0.0553946
944.698,0.047047
945.201,0.0399178
945.821,0.0342414
946.565,0.0299486
947.512,0.0266465
948.912,0.0240472
949.612,0.0233357
952.411,0.0224703
954.777,0.0231146
957.742,0.025299
960.741,0.029177
963.021,0.0336702
965.18,0.0395219
967.28,0.0480678
969.065,0.0586254
970.67,0.0723803
971.99,0.0884918
973.115,0.107717
974.195,0.133592
975.14,0.165527
975.98,0.205621
976.715,0.255032
977.345,0.314062
977.945,0.39282
978.44,0.483676
978.86,0.589227
979.242,0.720261
979.61,0.894944
979.932,1.11079
980.195,1.35586
980.42,1.64649
980.607,1.98237
980.758,2.35259
980.907,2.87284
981.02,3.41991
981.135,4.19308
981.237,5.14855
981.339,6.46646
981.428,8.02749
981.518,10.1132
981.608,12.8574
981.71,16.9714
981.815,22.5772
981.92,29.8336
982.042,40.5513
982.19,57.1528
982.412,87.8278
982.694,128.015
982.868,145.793
983.036,153.077
983.06,153.192
983.228,147.447
983.402,130.871
983.714,86.8601
983.925,57.6622
984.065,41.8724
984.185,31.002
984.296,23.1246
984.395,17.6797
984.494,13.5014
984.589,10.4821
984.683,8.21389
984.778,6.52606
984.872,5.27544
984.98,4.23565
985.1,3.41918
985.22,2.84034
985.37,2.32879
985.535,1.93311
985.722,1.60994
985.948,1.32866
986.24,1.06763
986.555,0.867718
986.915,0.703326
987.32,0.570173
987.792,0.458725
988.31,0.371231
988.91,0.298601
989.6,0.239352
990.32,0.195145
991.175,0.157564
992.12,0.128007
993.245,0.103089
994.415,0.0847674
995.78,0.0696119
997.31,0.0576124
998.84,0.0490673
1000.97,0.0407703
1003.74,0.0340124
1006.81,0.0293359
1009.32,0.0270725
1012.33,0.0256606
1015.34,0.0252787
1018.85,0.0260733
1022.36,0.028284
1026.6,0.0333616
1029.72,0.0398148
1032.23,0.0476967
1034.41,0.0576866
1036.32,0.0701667
1038.06,0.086493
1039.52,0.106019
1040.82,0.130136
1041.99,0.160651
1043.04,0.19889
1043.92,0.243422
1044.71,0.298773
1045.45,0.369205
1046.12,0.458818
1046.7,0.567969
1047.21,0.697207
1047.65,0.851973
1048.08,1.06719
1048.43,1.3022
1048.76,1.61226
1049.06,2.00866
1049.31,2.48453
1049.51,3.00857
1049.69,3.70929
1049.84,4.54501
1049.98,5.59349
1050.11,6.98956
1050.22,8.70848
1050.33,11.0631
1050.45,14.2756
1050.55,18.3338
1050.67,24.1084
1050.78,31.6214
1050.91,42.2687
1051.07,58.6156
1051.29,87.2962
1051.63,134.266
1051.84,152.664
1052.0,157.61
1052.16,152.815
1052.37,134.179
1052.89,63.5841
1053.06,45.447
1053.19,33.6541
1053.31,25.3224
1053.43,19.2592
1053.54,14.6923
1053.65,11.3704
1053.77,8.93286
1053.87,7.32427
1054.0,5.8189
1054.12,4.78006
1054.26,3.92738
1054.44,3.18069
1054.64,2.60501
1054.85,2.1648
1055.1,1.77944
1055.39,1.45302
1055.76,1.16134
1056.15,0.941454
1056.59,0.761437
1057.11,0.608464
1057.69,0.487075
1058.36,0.388667
1059.1,0.312105
1059.94,0.24983
1060.79,0.203906
1061.8,0.164954
1062.89,0.134501
1064.23,0.107775
1065.57,0.0885499
1067.24,0.0713242
1068.96,0.0587618
1071.01,0.0479881
1073.44,0.0390559
1076.12,0.0321629
1078.78,0.027351
1082.05,0.0230871
1085.97,0.0195197
1089.88,0.017166
1095.11,0.0149697
1099.02,0.013847
1105.06,0.0127748
1111.1,0.0122276
1117.13,0.012078
1126.19,0.0125096
1135.24,0.0136441
1142.79,0.0153608
1150.41,0.0179487
1156.6,0.0211333
1162.02,0.0251039
1167.25,0.0306024
1171.89,0.0376242
1175.96,0.0465059
1179.44,0.0573607
1182.34,0.0699441
1184.67,0.0836738
1186.99,0.10228
1189.26,0.127736
1191.2,0.158219
1192.99,0.197841
1194.54,0.245994
1195.89,0.304415
1197.08,0.375337
1198.18,0.466697
1199.11,0.573282
1199.91,0.697239
1200.66,0.855363
1201.38,1.0661
1202.0,1.31733
1202.57,1.63533
1203.08,2.03741
1203.5,2.49028
1203.91,3.09774
1204.24,3.77683
1204.53,4.59236
1204.82,5.72732
1205.05,7.0003
1205.25,8.5351
1205.45,10.6785
1205.63,13.2442
1205.8,16.7916
1205.96,21.2367
1206.12,26.8783
1206.29,35.2698
1206.46,46.3267
1206.68,63.857
1207.28,120.669
1207.47,133.141
1207.69,139.004
1207.7,139.011
1207.92,133.652
1208.16,117.063
1208.75,60.8081
1208.96,44.9138
1209.14,33.906
1209.31,25.7528
1209.47,20.2325
1209.63,16.0446
1209.79,12.9418
1209.95,10.6647
1210.14,8.60847
1210.33,7.11464
1210.58,5.71615
1210.87,4.58216
1211.21,3.6539
1211.55,2.98936
1211.96,2.41131
1212.44,1.9258
1212.93,1.56685
1213.51,1.26359
1214.18,1.00825
1214.86,0.823621
1215.66,0.665011
1216.51,0.542627
1217.57,0.431918
1218.73,0.346294
1219.89,0.284354
1221.25,0.231498
1222.89,0.185312
1224.59,0.151298
1226.57,0.122645
1228.89,0.0989238
1231.51,0.0802397
1234.41,0.0657873
1237.89,0.0538121
1241.96,0.0444833
1246.41,0.0378603
1251.06,0.0335054
1255.7,0.0309469
1261.89,0.0296349
1268.09,0.0304646
1273.06,0.0330577
1277.17,0.0370851
1279.44,0.0413108
1281.11,0.0469376
1282.17,0.0536067
1282.86,0.0610897
1283.3,0.0690608
1283.67,0.0799989
1283.89,0.0910342
1284.07,0.105813
1284.2,0.122451
1284.33,0.147857
1284.44,0.177995
1284.54,0.221023
1284.63,0.273316
1284.72,0.343892
1284.81,0.435904
1284.9,0.556382
1284.99,0.71178
1285.09,0.946185
1285.21,1.27814
1285.33,1.73192
1285.46,2.34387
1285.63,3.33355
1286.07,6.34488
1286.29,7.39623
1286.47,7.77863
1286.5,7.78477
1286.68,7.50266
1286.86,6.71927
1287.15,4.88036
1287.43,3.0137
1287.59,2.10473
1287.72,1.53456
1287.84,1.13681
1287.94,0.86103
1288.05,0.648633
1288.15,0.493893
1288.24,0.382476
1288.34,0.3001
1288.44,0.240044
1288.53,0.196722
1288.63,0.165669
1288.75,0.138937
1288.87,0.121179
1289.02,0.10693
1289.24,0.0941863
1289.46,0.0865767
1289.91,0.0778636
1290.58,0.0715708
1291.63,0.068278
1292.16,0.0680238
1294.06,0.0709418
1296.6,0.0802382
1299.13,0.0944818
1301.67,0.114848
1303.89,0.139945
1305.79,0.1696
1307.59,0.208128
1309.15,0.253661
1310.7,0.316966
1312.03,0.393009
1313.14,0.479972
1314.08,0.57825
1315.11,0.727137
1315.87,0.878377
1316.65,1.08944
1317.34,1.34862
1317.95,1.66354
1318.52,2.07323
1319.02,2.58272
1319.49,3.24723
1319.9,4.06151
1320.24,5.02577
1320.55,6.25249
1320.82,7.7273
1321.04,9.39265
1321.25,11.5611
1321.45,14.447
1321.65,18.357
1321.85,23.714
1322.03,30.2824
1322.25,40.5161
1322.5,55.3597
1323.1,97.5756
1323.33,109.487
1323.54,114.736
1323.6,114.961
1323.83,111.089
1324.09,98.5985
1324.79,49.5942
1325.02,36.7507
1325.22,28.1408
1325.4,22.2572
1325.58,17.7662
1325.76,14.375
1325.95,11.6598
1326.17,9.29364
1326.4,7.5905
1326.67,6.1514
1326.97,4.97198
1327.31,4.02055
1327.72,3.21601
1328.16,2.58874
1328.67,2.07574
1329.2,1.68716
1329.81,1.36454
1330.46,1.11477
1331.26,0.891554
1332.09,0.722745
1333.11,0.575536
1334.22,0.460994
1335.49,0.367762
1336.85,0.296132
1338.37,0.238581
1339.89,0.196608
1341.89,0.156598
1343.88,0.127758
1346.1,0.104313
1348.64,0.0847933
1351.49,0.0688894
1354.79,0.0556734
1358.59,0.0448661
1362.39,0.0370432
1366.96,0.0302478
1372.28,0.0246328
1377.35,0.0208314
1383.44,0.0176235
1388.76,0.0159008
1392.57,0.0153221
1395.7,0.0158267
1397.58,0.0170805
1398.81,0.0188063
1399.84,0.0213752
1400.66,0.0248536
1401.31,0.029266
1401.84,0.0349021
1402.28,0.042147
1402.57,0.0493052
1402.81,0.0575206
1403.01,0.068171
1403.16,0.079469
1403.29,0.0942692
1403.4,0.111978
1403.51,0.137178
1403.6,0.166455
1403.69,0.206229
1403.79,0.260179
1403.88,0.336309
1403.97,0.432386
1404.06,0.558564
1404.15,0.72204
1404.25,0.950009
1404.36,1.28481
1404.47,1.71463
1404.6,2.3509
1404.74,3.26505
1404.93,4.66536
1405.35,8.31835
1405.57,9.69825
1405.77,10.2158
1405.8,10.2263
1405.99,9.85617
1406.16,8.90844
1406.46,6.53442
1406.75,4.0152
1406.93,2.78156
1407.07,2.02212
1407.18,1.49382
1407.29,1.11743
1407.4,0.839584
1407.49,0.650353
1407.58,0.502999
1407.67,0.389873
1407.76,0.299588
1407.84,0.240865
1407.94,0.191797
1408.03,0.155633
1408.12,0.128992
1408.23,0.105984
1408.35,0.0879372
1408.51,0.0730035
1408.66,0.06289
1408.88,0.0530211
1409.17,0.0444034
1409.5,0.0375479
1409.96,0.0309909
1410.53,0.0256955
1411.15,0.0218035
1411.77,0.019109
1412.78,0.0161987
1414.04,0.0139238
1415.56,0.012229
1417.45,0.0108944
1420.23,0.00966267
1424.95,0.00845003
1431.61,0.0074257
1441.6,0.0064905
1454.92,0.0057456
1468.24,0.00529163
1488.26,0.00504546
1504.03,0.0052176
1513.04,0.00551245
1522.05,0.00603101
1531.07,0.00690983
1537.83,0.00800265
1542.33,0.00907646
1545.71,0.0101683
1549.94,0.0120486
1553.32,0.0143853
1555.85,0.0169994
1557.83,0.0200201
1559.24,0.0231908
1560.37,0.0268632
1561.36,0.0315814
1562.21,0.0376883
1562.8,0.0439559
1563.37,0.0530018
1563.78,0.0626537
1564.1,0.0736826
1564.36,0.087151
1564.52,0.0990027
1564.67,0.116064
1564.82,0.139097
1564.93,0.165465
1565.04,0.202782
1565.13,0.245741
1565.23,0.303463
1565.32,0.380755
1565.42,0.493044
1565.51,0.625052
1565.6,0.794982
1565.7,1.05211
1565.81,1.38587
1565.92,1.84428
1566.04,2.48696
1566.19,3.45225
1566.36,4.88117
1566.61,7.48544
1566.97,11.1927
1567.19,12.7302
1567.39,13.2878
1567.4,13.2886
1567.6,12.7873
1567.81,11.3988
1568.14,8.03473
1568.43,4.98667
1568.6,3.56857
1568.74,2.58152
1568.87,1.9214
1568.98,1.44881
1569.09,1.09289
1569.19,0.832937
1569.29,0.635092
1569.38,0.498707
1569.48,0.395179
1569.57,0.317381
1569.66,0.259374
1569.77,0.211948
1569.87,0.178012
1569.99,0.150734
1570.14,0.127947
1570.32,0.110531
1570.56,0.0962556
1570.91,0.0839508
1571.39,0.074457
1571.97,0.0686397
1572.83,0.065817
1573.97,0.0679361
1575.11,0.0745237
1576.24,0.0852742
1577.53,0.103484
1578.55,0.124621
1579.58,0.15462
1580.46,0.191218
1581.19,0.233672
1581.9,0.291108
1582.49,0.356935
1583.05,0.445436
1583.56,0.556903
1583.95,0.679954
1584.32,0.836556
1584.62,1.01629
1584.92,1.26164
1585.13,1.50981
1585.32,1.83759
1585.5,2.26397
1585.66,2.81781
1585.8,3.51759
1585.93,4.36155
1586.05,5.50339
1586.18,7.10081
1586.3,9.12982
1586.44,12.0128
1586.56,15.6039
1586.71,20.9252
